# Filter metadata generated from SVO curves and vega.dat
# eff_wave: Vega-weighted effective wavelength in Angstrom, using response_type-specific integration weights
# bandwidth: rectangular throughput width, int(T dlambda) / max(T), Angstrom
# response_type: convention of the local response curve; photon uses an extra lambda weight, energy does not
# svo_id: SVO Filter Profile Service identifier used for the local response curve
photband eff_wave bandwidth response_type svo_id
2MASS_H 16423.03041069 2509.40449264 photon 2MASS/2MASS.H
2MASS_J 12321.16274883 1624.32450656 photon 2MASS/2MASS.J
2MASS_Ks 21557.64050785 2618.86999355 photon 2MASS/2MASS.Ks
GAIA3E_BP 5035.75862526 2616.43072003 photon GAIA/GAIA3.Gbp
GAIA3E_G 5822.39226597 4415.91713198 photon GAIA/GAIA3.G
GAIA3E_RP 7619.96236224 2862.72943765 photon GAIA/GAIA3.Grp
GALEX_FUV 1548.85654338 255.44887518 photon GALEX/GALEX.FUV
GALEX_NUV 2303.36589393 729.93837172 photon GALEX/GALEX.NUV
HST_ACS_WFC_F435W 4341.61852818 865.21049853 photon HST/ACS_WFC.F435W
HST_ACS_WFC_F475W 4708.86482369 1358.89368300 photon HST/ACS_WFC.F475W
HST_ACS_WFC_F555W 5331.75114344 1124.58354642 photon HST/ACS_WFC.F555W
HST_ACS_WFC_F606W 5809.26075846 1988.76119262 photon HST/ACS_WFC.F606W
HST_ACS_WFC_F814W 7973.39069878 1741.49949336 photon HST/ACS_WFC.F814W
HST_WFC3_F110W 11200.52058285 4429.57219908 photon HST/WFC3_IR.F110W
HST_WFC3_F160W 15278.46643991 2682.35184137 photon HST/WFC3_IR.F160W
HST_WFC3_F275W 2720.03151161 405.17265887 photon HST/WFC3_UVIS1.F275W
HST_WFC3_F336W 3358.95051466 511.59732662 photon HST/WFC3_UVIS1.F336W
HST_WFC3_F475W 4732.43981254 1343.44875134 photon HST/WFC3_UVIS1.F475W
HST_WFC3_F555W 5235.74826479 1565.36102746 photon HST/WFC3_UVIS1.F555W
HST_WFC3_F606W 5782.20150369 2189.21628624 photon HST/WFC3_UVIS1.F606W
HST_WFC3_F814W 7964.24909020 1565.19964108 photon HST/WFC3_UVIS1.F814W
PS1_g 4810.15921452 1166.37450199 photon PAN-STARRS/PS1.g
PS1_i 7503.03054835 1242.48561565 photon PAN-STARRS/PS1.i
PS1_r 6155.46583972 1317.97671033 photon PAN-STARRS/PS1.r
PS1_y 9613.60359713 614.88617886 photon PAN-STARRS/PS1.y
PS1_z 8668.36355132 965.59090909 photon PAN-STARRS/PS1.z
SDSS_g 4671.78433872 1158.37254359 photon SLOAN/SDSS.g
SDSS_i 7457.88808283 1044.53697142 photon SLOAN/SDSS.i
SDSS_r 6141.15046447 1111.18006104 photon SLOAN/SDSS.r
SDSS_u 3608.02756726 558.41013825 photon SLOAN/SDSS.u
SDSS_z 8922.77869685 1124.58703939 photon SLOAN/SDSS.z
SPITZER_IRAC_36 35074.83350467 6836.17963794 energy Spitzer/IRAC.I1
SPITZER_IRAC_45 44365.56176120 8649.91896059 energy Spitzer/IRAC.I2
SPITZER_IRAC_58 56280.61756140 12561.17488388 energy Spitzer/IRAC.I3
SPITZER_IRAC_80 75890.53553599 25288.49795828 energy Spitzer/IRAC.I4
SkyMapper_g 5016.04718251 1477.50000000 photon SkyMapper/SkyMapper.g
SkyMapper_i 7732.82724062 1201.60000000 photon SkyMapper/SkyMapper.i
SkyMapper_r 6076.81541793 1523.30000000 photon SkyMapper/SkyMapper.r
SkyMapper_u 3499.53510705 425.25201613 photon SkyMapper/SkyMapper.u
SkyMapper_v 3878.20964750 318.80000000 photon SkyMapper/SkyMapper.v
SkyMapper_z 9117.99710389 1112.82500000 photon SkyMapper/SkyMapper.z
WFCAM_H 16265.88516502 2761.84680451 photon UKIRT/WFCAM.H
WFCAM_J 12461.66538508 1470.98385587 photon UKIRT/WFCAM.J
WFCAM_K 21948.89582652 3257.55755546 photon UKIRT/WFCAM.K
WFCAM_Y 10298.17120649 1004.36827957 photon UKIRT/WFCAM.Y
WFCAM_Z 8822.27871555 876.13457503 photon UKIRT/WFCAM.Z
WISE_RSR_W1 33154.27243892 6626.41952759 energy WISE/WISE.W1
WISE_RSR_W2 45644.77528422 10422.65932345 energy WISE/WISE.W2
WISE_RSR_W3 107865.91563435 55055.27602650 energy WISE/WISE.W3
WISE_RSR_W4 219148.60554239 41016.86838209 energy WISE/WISE.W4
ZTF_g 4746.47993073 1269.84650435 photon Palomar/ZTF.g
ZTF_i 7829.03235795 1224.87836216 photon Palomar/ZTF.i
ZTF_r 6366.38438704 1506.01764313 photon Palomar/ZTF.r
