# Local photband to SVO Filter Profile Service mapping.
# response_type is derived from SVO DetectorType when the curves are refreshed:
# DetectorType=1 -> photon, DetectorType=0 -> energy.
photband svo_id
2MASS_H 2MASS/2MASS.H
2MASS_J 2MASS/2MASS.J
2MASS_Ks 2MASS/2MASS.Ks
GAIA3E_BP GAIA/GAIA3.Gbp
GAIA3E_G GAIA/GAIA3.G
GAIA3E_RP GAIA/GAIA3.Grp
GALEX_FUV GALEX/GALEX.FUV
GALEX_NUV GALEX/GALEX.NUV
HST_ACS_WFC_F435W HST/ACS_WFC.F435W
HST_ACS_WFC_F475W HST/ACS_WFC.F475W
HST_ACS_WFC_F555W HST/ACS_WFC.F555W
HST_ACS_WFC_F606W HST/ACS_WFC.F606W
HST_ACS_WFC_F814W HST/ACS_WFC.F814W
HST_WFC3_F110W HST/WFC3_IR.F110W
HST_WFC3_F160W HST/WFC3_IR.F160W
HST_WFC3_F275W HST/WFC3_UVIS1.F275W
HST_WFC3_F336W HST/WFC3_UVIS1.F336W
HST_WFC3_F475W HST/WFC3_UVIS1.F475W
HST_WFC3_F555W HST/WFC3_UVIS1.F555W
HST_WFC3_F606W HST/WFC3_UVIS1.F606W
HST_WFC3_F814W HST/WFC3_UVIS1.F814W
PS1_g PAN-STARRS/PS1.g
PS1_i PAN-STARRS/PS1.i
PS1_r PAN-STARRS/PS1.r
PS1_y PAN-STARRS/PS1.y
PS1_z PAN-STARRS/PS1.z
SDSS_g SLOAN/SDSS.g
SDSS_i SLOAN/SDSS.i
SDSS_r SLOAN/SDSS.r
SDSS_u SLOAN/SDSS.u
SDSS_z SLOAN/SDSS.z
SPITZER_IRAC_36 Spitzer/IRAC.I1
SPITZER_IRAC_45 Spitzer/IRAC.I2
SPITZER_IRAC_58 Spitzer/IRAC.I3
SPITZER_IRAC_80 Spitzer/IRAC.I4
SkyMapper_g SkyMapper/SkyMapper.g
SkyMapper_i SkyMapper/SkyMapper.i
SkyMapper_r SkyMapper/SkyMapper.r
SkyMapper_u SkyMapper/SkyMapper.u
SkyMapper_v SkyMapper/SkyMapper.v
SkyMapper_z SkyMapper/SkyMapper.z
WFCAM_H UKIRT/WFCAM.H
WFCAM_J UKIRT/WFCAM.J
WFCAM_K UKIRT/WFCAM.K
WFCAM_Y UKIRT/WFCAM.Y
WFCAM_Z UKIRT/WFCAM.Z
WISE_RSR_W1 WISE/WISE.W1
WISE_RSR_W2 WISE/WISE.W2
WISE_RSR_W3 WISE/WISE.W3
WISE_RSR_W4 WISE/WISE.W4
ZTF_g Palomar/ZTF.g
ZTF_i Palomar/ZTF.i
ZTF_r Palomar/ZTF.r
