# photband: 2MASS_H
# source: SVO Filter Profile Service
# svo_id: 2MASS/2MASS.H
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://www.ipac.caltech.edu/2mass/releases/allsky/doc/sec6_4a.html#rsr
# wavelength_unit: Angstrom
# columns: wavelength transmission
1.2890000000e+04 0.0000000000e+00
1.3150000000e+04 0.0000000000e+00
1.3410000000e+04 0.0000000000e+00
1.3680000000e+04 0.0000000000e+00
1.3970000000e+04 0.0000000000e+00
1.4180000000e+04 0.0000000000e+00
1.4400000000e+04 5.0000000000e-04
1.4620000000e+04 2.7999999000e-03
1.4780000000e+04 8.1000002000e-03
1.4860000000e+04 2.8699999700e-02
1.4930000000e+04 8.7099999200e-02
1.5040000000e+04 2.0139999690e-01
1.5150000000e+04 4.3819999690e-01
1.5280000000e+04 6.8639999630e-01
1.5390000000e+04 8.1809997560e-01
1.5460000000e+04 8.8209998610e-01
1.5510000000e+04 9.1180002690e-01
1.5560000000e+04 9.2690002920e-01
1.5650000000e+04 9.2930001020e-01
1.5720000000e+04 8.7269997600e-01
1.5770000000e+04 8.5659998660e-01
1.5830000000e+04 8.8260000940e-01
1.5920000000e+04 9.1809999940e-01
1.5970000000e+04 9.2669999600e-01
1.6020000000e+04 9.0759998560e-01
1.6130000000e+04 9.2599999900e-01
1.6190000000e+04 9.2049998040e-01
1.6280000000e+04 9.2419999840e-01
1.6330000000e+04 9.2350000140e-01
1.6420000000e+04 9.4179999830e-01
1.6480000000e+04 9.4910001750e-01
1.6570000000e+04 9.8070001600e-01
1.6590000000e+04 9.9370002750e-01
1.6710000000e+04 1.0000000000e+00
1.6840000000e+04 9.5609998700e-01
1.7010000000e+04 9.2409998180e-01
1.7150000000e+04 9.8210000990e-01
1.7270000000e+04 9.9159997700e-01
1.7390000000e+04 9.8869997260e-01
1.7460000000e+04 9.7920000550e-01
1.7510000000e+04 9.6820002790e-01
1.7530000000e+04 9.3699997660e-01
1.7560000000e+04 9.1900002960e-01
1.7640000000e+04 8.4229999780e-01
1.7750000000e+04 6.6710001230e-01
1.7850000000e+04 2.6940000060e-01
1.7900000000e+04 4.5159998540e-01
1.7960000000e+04 1.7309999470e-01
1.8030000000e+04 1.0769999770e-01
1.8100000000e+04 7.0699997200e-02
1.8130000000e+04 5.1000002000e-03
1.8180000000e+04 1.9999999600e-02
1.8280000000e+04 4.0000000000e-04
1.8350000000e+04 0.0000000000e+00
1.8500000000e+04 1.0000000000e-04
1.8710000000e+04 0.0000000000e+00
1.8930000000e+04 0.0000000000e+00
1.9140000000e+04 0.0000000000e+00
