# photband: 2MASS_J
# source: SVO Filter Profile Service
# svo_id: 2MASS/2MASS.J
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://www.ipac.caltech.edu/2mass/releases/allsky/doc/sec6_4a.html#rsr
# wavelength_unit: Angstrom
# columns: wavelength transmission
1.0620000000e+04 0.0000000000e+00
1.0660000000e+04 4.0000000000e-04
1.0700000000e+04 1.5000000000e-03
1.0750000000e+04 2.7000001000e-03
1.0780000000e+04 5.5000000000e-03
1.0820000000e+04 1.2299999600e-02
1.0840000000e+04 2.0300000900e-02
1.0870000000e+04 3.0600000200e-02
1.0890000000e+04 4.0500000100e-02
1.0930000000e+04 5.1500000100e-02
1.0960000000e+04 5.6400001000e-02
1.1020000000e+04 7.1800001000e-02
1.1050000000e+04 2.7360001210e-01
1.1070000000e+04 3.4099999070e-01
1.1090000000e+04 3.5839998720e-01
1.1120000000e+04 3.8010001180e-01
1.1160000000e+04 3.3070001010e-01
1.1170000000e+04 2.3950000110e-01
1.1200000000e+04 2.5009998680e-01
1.1230000000e+04 2.8330001240e-01
1.1280000000e+04 2.5819998980e-01
1.1290000000e+04 2.5150001050e-01
1.1320000000e+04 5.3810000420e-01
1.1340000000e+04 2.2319999340e-01
1.1380000000e+04 5.3689998390e-01
1.1400000000e+04 1.1020000280e-01
1.1430000000e+04 5.2920001750e-01
1.1470000000e+04 2.6190000770e-01
1.1540000000e+04 3.2019999620e-01
1.1590000000e+04 1.7430000010e-01
1.1640000000e+04 6.0699999330e-01
1.1670000000e+04 6.1790001390e-01
1.1700000000e+04 6.7629998920e-01
1.1730000000e+04 7.2790002820e-01
1.1750000000e+04 7.4650001530e-01
1.1790000000e+04 8.3039999010e-01
1.1820000000e+04 7.9030001160e-01
1.1860000000e+04 8.0959999560e-01
1.1880000000e+04 8.3689999580e-01
1.1920000000e+04 8.3600002530e-01
1.1950000000e+04 7.4989998340e-01
1.1990000000e+04 7.0800000430e-01
1.2020000000e+04 6.9880002740e-01
1.2090000000e+04 7.0490002630e-01
1.2160000000e+04 7.0039999490e-01
1.2210000000e+04 7.3280000690e-01
1.2270000000e+04 7.0569998030e-01
1.2310000000e+04 8.4240001440e-01
1.2360000000e+04 9.2189997430e-01
1.2400000000e+04 9.5249998570e-01
1.2440000000e+04 9.6759998800e-01
1.2470000000e+04 9.5950001480e-01
1.2530000000e+04 9.2269998790e-01
1.2550000000e+04 8.9300000670e-01
1.2580000000e+04 8.5290002820e-01
1.2600000000e+04 8.0229997630e-01
1.2650000000e+04 7.5010001660e-01
1.2700000000e+04 6.7809998990e-01
1.2750000000e+04 6.5240001680e-01
1.2790000000e+04 6.3880002500e-01
1.2860000000e+04 6.4240002630e-01
1.2920000000e+04 6.4859998230e-01
1.2970000000e+04 6.8239998820e-01
1.3020000000e+04 7.5290000440e-01
1.3050000000e+04 7.7590000630e-01
1.3070000000e+04 8.1180000310e-01
1.3100000000e+04 7.7700001000e-01
1.3130000000e+04 7.2100001570e-01
1.3160000000e+04 9.5249998570e-01
1.3190000000e+04 8.5509997610e-01
1.3230000000e+04 8.4140002730e-01
1.3260000000e+04 1.0000000000e+00
1.3300000000e+04 8.9469999070e-01
1.3330000000e+04 8.5490000250e-01
1.3340000000e+04 5.3789997100e-01
1.3360000000e+04 2.7990001440e-01
1.3390000000e+04 9.0649998190e-01
1.3430000000e+04 6.8930000070e-01
1.3460000000e+04 5.5330002310e-01
1.3490000000e+04 2.4320000410e-01
1.3530000000e+04 1.4399999800e-02
1.3550000000e+04 2.0000000000e-04
1.3600000000e+04 4.0100000800e-02
1.3630000000e+04 4.4999998000e-03
1.3700000000e+04 3.0000000000e-04
1.3730000000e+04 3.7200000100e-02
1.3770000000e+04 5.0000000000e-04
1.3830000000e+04 0.0000000000e+00
1.3880000000e+04 1.0000000000e-04
1.3920000000e+04 3.3000000000e-03
1.3950000000e+04 3.0000000000e-04
1.3960000000e+04 8.5000005000e-03
1.3970000000e+04 2.5399999700e-02
1.3980000000e+04 1.1840000000e-01
1.4000000000e+04 1.0000000000e-04
1.4010000000e+04 1.0000000000e-04
1.4020000000e+04 5.2099999000e-02
1.4040000000e+04 1.0400000000e-02
1.4060000000e+04 4.7800000800e-02
1.4070000000e+04 4.0000000000e-04
1.4100000000e+04 2.4000001000e-03
1.4120000000e+04 5.2999998000e-03
1.4160000000e+04 8.6000003000e-03
1.4210000000e+04 7.0000000000e-04
1.4260000000e+04 3.0000000000e-04
1.4420000000e+04 4.0000000000e-04
1.4500000000e+04 0.0000000000e+00
