# photband: 2MASS_Ks
# source: SVO Filter Profile Service
# svo_id: 2MASS/2MASS.Ks
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://www.ipac.caltech.edu/2mass/releases/allsky/doc/sec6_4a.html#rsr
# wavelength_unit: Angstrom
# columns: wavelength transmission
1.9000000000e+04 0.0000000000e+00
1.9150000000e+04 0.0000000000e+00
1.9270000000e+04 0.0000000000e+00
1.9340000000e+04 2.0000000000e-04
1.9390000000e+04 5.0000000000e-04
1.9480000000e+04 5.4000001000e-03
1.9570000000e+04 1.1900000300e-02
1.9620000000e+04 1.9700000100e-02
1.9690000000e+04 4.2199999100e-02
1.9760000000e+04 8.7300002600e-02
1.9810000000e+04 1.5279999380e-01
1.9890000000e+04 2.4819999930e-01
1.9900000000e+04 1.9020000100e-01
1.9980000000e+04 2.3389999570e-01
2.0080000000e+04 2.9460000990e-01
2.0140000000e+04 3.9820000530e-01
2.0190000000e+04 3.3660000560e-01
2.0280000000e+04 6.2070000170e-01
2.0370000000e+04 7.6499998570e-01
2.0450000000e+04 7.4639999870e-01
2.0610000000e+04 6.2510001660e-01
2.0720000000e+04 7.2549998760e-01
2.0750000000e+04 6.8949997430e-01
2.0820000000e+04 7.8789997100e-01
2.0890000000e+04 8.1809997560e-01
2.0990000000e+04 8.2279998060e-01
2.1060000000e+04 8.6330002550e-01
2.1130000000e+04 8.7779998780e-01
2.1200000000e+04 8.5490000250e-01
2.1240000000e+04 8.9529997110e-01
2.1380000000e+04 9.1890001300e-01
2.1450000000e+04 9.2680001260e-01
2.1550000000e+04 9.2669999600e-01
2.1690000000e+04 9.0090000630e-01
2.1760000000e+04 9.2280000450e-01
2.1850000000e+04 8.4280002120e-01
2.1970000000e+04 9.4590002300e-01
2.2080000000e+04 9.8040002580e-01
2.2130000000e+04 9.8790001870e-01
2.2180000000e+04 9.8479998110e-01
2.2320000000e+04 9.6469998360e-01
2.2370000000e+04 9.8159998660e-01
2.2480000000e+04 9.8339998720e-01
2.2560000000e+04 9.6130001540e-01
2.2600000000e+04 9.7920000550e-01
2.2630000000e+04 1.0000000000e+00
2.2650000000e+04 9.6319997310e-01
2.2700000000e+04 9.8119997980e-01
2.2720000000e+04 9.6810001130e-01
2.2760000000e+04 9.1089999680e-01
2.2770000000e+04 9.8210000990e-01
2.2810000000e+04 8.8959997890e-01
2.2840000000e+04 8.9179998640e-01
2.2860000000e+04 9.4239997860e-01
2.2910000000e+04 8.4039998050e-01
2.2930000000e+04 8.0419999360e-01
2.2950000000e+04 7.0770001410e-01
2.2970000000e+04 6.5759998560e-01
2.2990000000e+04 5.6069999930e-01
2.3060000000e+04 4.4369998570e-01
2.3110000000e+04 3.4819999340e-01
2.3160000000e+04 2.3019999270e-01
2.3200000000e+04 1.6259999570e-01
2.3250000000e+04 1.3600000740e-01
2.3280000000e+04 9.2100001900e-02
2.3350000000e+04 6.2399998300e-02
2.3390000000e+04 4.3099999400e-02
2.3440000000e+04 3.4000001800e-02
2.3460000000e+04 3.0999999500e-02
2.3520000000e+04 1.1800000400e-02
2.3610000000e+04 6.8000001000e-03
2.3630000000e+04 7.0000000000e-04
2.3700000000e+04 3.0000000000e-03
2.3750000000e+04 2.0999999000e-03
2.3840000000e+04 4.0000000000e-04
2.3990000000e+04 0.0000000000e+00
