# photband: GAIA3E_G
# source: SVO Filter Profile Service
# svo_id: GAIA/GAIA3.G
# detector_type: 1
# response_type: photon
# components: Filter + CCD + Instrument
# profile_reference: https://www.cosmos.esa.int/web/gaia/edr3-passbands
# wavelength_unit: Angstrom
# columns: wavelength transmission
3.2000000000e+03 2.3736696200e-08
3.2100000000e+03 1.5777444300e-07
3.2200000000e+03 9.0855475500e-07
3.2300000000e+03 4.7807233100e-06
3.2400000000e+03 2.3942807100e-05
3.2500000000e+03 1.0364827600e-04
3.2600000000e+03 3.7228053400e-04
3.2700000000e+03 1.0938184300e-03
3.2800000000e+03 2.6517464200e-03
3.2900000000e+03 5.4509819500e-03
3.3000000000e+03 9.7687547200e-03
3.3100000000e+03 1.5627585500e-02
3.3200000000e+03 2.2774123300e-02
3.3300000000e+03 3.0761329400e-02
3.3400000000e+03 3.9361709200e-02
3.3500000000e+03 4.8105159100e-02
3.3600000000e+03 5.6597461900e-02
3.3700000000e+03 6.4865228400e-02
3.3800000000e+03 7.2599846500e-02
3.3900000000e+03 7.9979903500e-02
3.4000000000e+03 8.6883741500e-02
3.4100000000e+03 9.3489211400e-02
3.4200000000e+03 9.9509819800e-02
3.4300000000e+03 1.0482133200e-01
3.4400000000e+03 1.0956773500e-01
3.4500000000e+03 1.1384478700e-01
3.4600000000e+03 1.1732224600e-01
3.4700000000e+03 1.2024803500e-01
3.4800000000e+03 1.2261647800e-01
3.4900000000e+03 1.2448136200e-01
3.5000000000e+03 1.2591006800e-01
3.5100000000e+03 1.2687385400e-01
3.5200000000e+03 1.2734962800e-01
3.5300000000e+03 1.2744424400e-01
3.5400000000e+03 1.2742715900e-01
3.5500000000e+03 1.2699164900e-01
3.5600000000e+03 1.2629405100e-01
3.5700000000e+03 1.2524599700e-01
3.5800000000e+03 1.2422981200e-01
3.5900000000e+03 1.2284782200e-01
3.6000000000e+03 1.2144251100e-01
3.6100000000e+03 1.2007806100e-01
3.6200000000e+03 1.1841589600e-01
3.6300000000e+03 1.1708205200e-01
3.6400000000e+03 1.1560274400e-01
3.6500000000e+03 1.1432001800e-01
3.6600000000e+03 1.1309868000e-01
3.6700000000e+03 1.1183734800e-01
3.6800000000e+03 1.1089716600e-01
3.6900000000e+03 1.1013763400e-01
3.7000000000e+03 1.0934904500e-01
3.7100000000e+03 1.0899301000e-01
3.7200000000e+03 1.0852836000e-01
3.7300000000e+03 1.0822953800e-01
3.7400000000e+03 1.0818023000e-01
3.7500000000e+03 1.0845096200e-01
3.7600000000e+03 1.0910805800e-01
3.7700000000e+03 1.0998953200e-01
3.7800000000e+03 1.1126265800e-01
3.7900000000e+03 1.1340949700e-01
3.8000000000e+03 1.1629319500e-01
3.8100000000e+03 1.2005807200e-01
3.8200000000e+03 1.2500475900e-01
3.8300000000e+03 1.3090108600e-01
3.8400000000e+03 1.3802649900e-01
3.8500000000e+03 1.4629011400e-01
3.8600000000e+03 1.5592947900e-01
3.8700000000e+03 1.6660602200e-01
3.8800000000e+03 1.7836287400e-01
3.8900000000e+03 1.9116800500e-01
3.9000000000e+03 2.0461828700e-01
3.9100000000e+03 2.1864294100e-01
3.9200000000e+03 2.3324188100e-01
3.9300000000e+03 2.4775736900e-01
3.9400000000e+03 2.6244978100e-01
3.9500000000e+03 2.7656159500e-01
3.9600000000e+03 2.9048446900e-01
3.9700000000e+03 3.0378684400e-01
3.9800000000e+03 3.1644434000e-01
3.9900000000e+03 3.2903632000e-01
4.0000000000e+03 3.4084777000e-01
4.0100000000e+03 3.5172756000e-01
4.0200000000e+03 3.6252337400e-01
4.0300000000e+03 3.7339529300e-01
4.0400000000e+03 3.8316870000e-01
4.0500000000e+03 3.9248734600e-01
4.0600000000e+03 4.0170624700e-01
4.0700000000e+03 4.1008049400e-01
4.0800000000e+03 4.1811138300e-01
4.0900000000e+03 4.2589775100e-01
4.1000000000e+03 4.3323588900e-01
4.1100000000e+03 4.4071366600e-01
4.1200000000e+03 4.4789760800e-01
4.1300000000e+03 4.5432471100e-01
4.1400000000e+03 4.6031315800e-01
4.1500000000e+03 4.6641954500e-01
4.1600000000e+03 4.7224546800e-01
4.1700000000e+03 4.7778656700e-01
4.1800000000e+03 4.8321288500e-01
4.1900000000e+03 4.8815468400e-01
4.2000000000e+03 4.9291518600e-01
4.2100000000e+03 4.9760796200e-01
4.2200000000e+03 5.0194146100e-01
4.2300000000e+03 5.0661589800e-01
4.2400000000e+03 5.1065540400e-01
4.2500000000e+03 5.1423035800e-01
4.2600000000e+03 5.1816759900e-01
4.2700000000e+03 5.2223185100e-01
4.2800000000e+03 5.2588402200e-01
4.2900000000e+03 5.2917259200e-01
4.3000000000e+03 5.3250605500e-01
4.3100000000e+03 5.3555771200e-01
4.3200000000e+03 5.3851692500e-01
4.3300000000e+03 5.4171020000e-01
4.3400000000e+03 5.4480684300e-01
4.3500000000e+03 5.4792029900e-01
4.3600000000e+03 5.5073781300e-01
4.3700000000e+03 5.5284927900e-01
4.3800000000e+03 5.5524030600e-01
4.3900000000e+03 5.5762555500e-01
4.4000000000e+03 5.6012104200e-01
4.4100000000e+03 5.6251755800e-01
4.4200000000e+03 5.6495565000e-01
4.4300000000e+03 5.6746752300e-01
4.4400000000e+03 5.6969851900e-01
4.4500000000e+03 5.7203879800e-01
4.4600000000e+03 5.7401535700e-01
4.4700000000e+03 5.7572851100e-01
4.4800000000e+03 5.7794077600e-01
4.4900000000e+03 5.8024933500e-01
4.5000000000e+03 5.8187167000e-01
4.5100000000e+03 5.8339368900e-01
4.5200000000e+03 5.8562795500e-01
4.5300000000e+03 5.8749350000e-01
4.5400000000e+03 5.8902512900e-01
4.5500000000e+03 5.9085182100e-01
4.5600000000e+03 5.9263937800e-01
4.5700000000e+03 5.9401590000e-01
4.5800000000e+03 5.9556884700e-01
4.5900000000e+03 5.9739226000e-01
4.6000000000e+03 5.9892135600e-01
4.6100000000e+03 6.0046711200e-01
4.6200000000e+03 6.0187277500e-01
4.6300000000e+03 6.0306683100e-01
4.6400000000e+03 6.0450483100e-01
4.6500000000e+03 6.0629381900e-01
4.6600000000e+03 6.0785946100e-01
4.6700000000e+03 6.0884693500e-01
4.6800000000e+03 6.0988536900e-01
4.6900000000e+03 6.1154526700e-01
4.7000000000e+03 6.1274340100e-01
4.7100000000e+03 6.1370031800e-01
4.7200000000e+03 6.1538098700e-01
4.7300000000e+03 6.1674901100e-01
4.7400000000e+03 6.1768885600e-01
4.7500000000e+03 6.1878506000e-01
4.7600000000e+03 6.2019268500e-01
4.7700000000e+03 6.2171695400e-01
4.7800000000e+03 6.2288663000e-01
4.7900000000e+03 6.2367043400e-01
4.8000000000e+03 6.2445627300e-01
4.8100000000e+03 6.2614324100e-01
4.8200000000e+03 6.2689289700e-01
4.8300000000e+03 6.2732693400e-01
4.8400000000e+03 6.2818737200e-01
4.8500000000e+03 6.2941639400e-01
4.8600000000e+03 6.3062892800e-01
4.8700000000e+03 6.3182813500e-01
4.8800000000e+03 6.3272291000e-01
4.8900000000e+03 6.3361625100e-01
4.9000000000e+03 6.3459205400e-01
4.9100000000e+03 6.3543485900e-01
4.9200000000e+03 6.3598396700e-01
4.9300000000e+03 6.3686544100e-01
4.9400000000e+03 6.3809639900e-01
4.9500000000e+03 6.3961688300e-01
4.9600000000e+03 6.4054583600e-01
4.9700000000e+03 6.4134840900e-01
4.9800000000e+03 6.4210821500e-01
4.9900000000e+03 6.4235125300e-01
5.0000000000e+03 6.4287686800e-01
5.0100000000e+03 6.4380862800e-01
5.0200000000e+03 6.4532555400e-01
5.0300000000e+03 6.4590562600e-01
5.0400000000e+03 6.4646736100e-01
5.0500000000e+03 6.4742806800e-01
5.0600000000e+03 6.4824207400e-01
5.0700000000e+03 6.4943775100e-01
5.0800000000e+03 6.5001670400e-01
5.0900000000e+03 6.5023749400e-01
5.1000000000e+03 6.5138427400e-01
5.1100000000e+03 6.5255848700e-01
5.1200000000e+03 6.5310771800e-01
5.1300000000e+03 6.5319309200e-01
5.1400000000e+03 6.5457695100e-01
5.1500000000e+03 6.5535307700e-01
5.1600000000e+03 6.5574002900e-01
5.1700000000e+03 6.5636645900e-01
5.1800000000e+03 6.5686775400e-01
5.1900000000e+03 6.5785650000e-01
