# photband: GAIA3E_RP
# source: SVO Filter Profile Service
# svo_id: GAIA/GAIA3.Grp
# detector_type: 1
# response_type: photon
# components: Filter + CCD + Instrument
# profile_reference: https://www.cosmos.esa.int/web/gaia/edr3-passbands
# wavelength_unit: Angstrom
# columns: wavelength transmission
6.1000000000e+03 1.0668122100e-04
6.1100000000e+03 1.4982793200e-04
6.1200000000e+03 2.1648915100e-04
6.1300000000e+03 3.1001220100e-04
6.1400000000e+03 4.5931809200e-04
6.1500000000e+03 7.0504105300e-04
6.1600000000e+03 1.0882540700e-03
6.1700000000e+03 1.7565278100e-03
6.1800000000e+03 2.9674771200e-03
6.1900000000e+03 5.1109588900e-03
6.2000000000e+03 8.9590730900e-03
6.2100000000e+03 1.4023825300e-02
6.2200000000e+03 2.2716779200e-02
6.2300000000e+03 3.6783281600e-02
6.2400000000e+03 5.8310962200e-02
6.2500000000e+03 8.9418593100e-02
6.2600000000e+03 1.3149965800e-01
6.2700000000e+03 1.8501403300e-01
6.2800000000e+03 2.4864204100e-01
6.2900000000e+03 3.1995092000e-01
6.3000000000e+03 3.9453480000e-01
6.3100000000e+03 4.6848436300e-01
6.3200000000e+03 5.3741948600e-01
6.3300000000e+03 5.9690912400e-01
6.3400000000e+03 6.4585972000e-01
6.3500000000e+03 6.8321513300e-01
6.3600000000e+03 7.1087747300e-01
6.3700000000e+03 7.2866979100e-01
6.3800000000e+03 7.3903015500e-01
6.3900000000e+03 7.3827284300e-01
6.4000000000e+03 7.2845742800e-01
6.4100000000e+03 7.1060868500e-01
6.4200000000e+03 6.9395003400e-01
6.4300000000e+03 6.8342815000e-01
6.4400000000e+03 6.7872988100e-01
6.4500000000e+03 6.7837421900e-01
6.4600000000e+03 6.7990572700e-01
6.4700000000e+03 6.8357327700e-01
6.4800000000e+03 6.8724586700e-01
6.4900000000e+03 6.9008391700e-01
6.5000000000e+03 6.9324572300e-01
6.5100000000e+03 6.9547829200e-01
6.5200000000e+03 6.9681867300e-01
6.5300000000e+03 6.9780795600e-01
6.5400000000e+03 6.9852626600e-01
6.5500000000e+03 6.9916525600e-01
6.5600000000e+03 7.0045094300e-01
6.5700000000e+03 7.0145516700e-01
6.5800000000e+03 7.0341722800e-01
6.5900000000e+03 7.0455340400e-01
6.6000000000e+03 7.0683449800e-01
6.6100000000e+03 7.0845914500e-01
6.6200000000e+03 7.1049035900e-01
6.6300000000e+03 7.1209641300e-01
6.6400000000e+03 7.1448590700e-01
6.6500000000e+03 7.1686610500e-01
6.6600000000e+03 7.1937272600e-01
6.6700000000e+03 7.2159781300e-01
6.6800000000e+03 7.2326922400e-01
6.6900000000e+03 7.2461845000e-01
6.7000000000e+03 7.2585793100e-01
6.7100000000e+03 7.2780835600e-01
6.7200000000e+03 7.2839698700e-01
6.7300000000e+03 7.3043660900e-01
6.7400000000e+03 7.3109773300e-01
6.7500000000e+03 7.3145816700e-01
6.7600000000e+03 7.3137631300e-01
6.7700000000e+03 7.3160585600e-01
6.7800000000e+03 7.3197521900e-01
6.7900000000e+03 7.3220338400e-01
6.8000000000e+03 7.3177292100e-01
6.8100000000e+03 7.3122321100e-01
6.8200000000e+03 7.3043330900e-01
6.8300000000e+03 7.2993841100e-01
6.8400000000e+03 7.2957468100e-01
6.8500000000e+03 7.2955295500e-01
6.8600000000e+03 7.2959860100e-01
6.8700000000e+03 7.2974342800e-01
6.8800000000e+03 7.3004663500e-01
6.8900000000e+03 7.3109997200e-01
6.9000000000e+03 7.3112623600e-01
6.9100000000e+03 7.3209491900e-01
6.9200000000e+03 7.3363349700e-01
6.9300000000e+03 7.3275564800e-01
6.9400000000e+03 7.3407200900e-01
6.9500000000e+03 7.3419966000e-01
6.9600000000e+03 7.3512099500e-01
6.9700000000e+03 7.3568053100e-01
6.9800000000e+03 7.3614624400e-01
6.9900000000e+03 7.3726483000e-01
7.0000000000e+03 7.3759113400e-01
7.0100000000e+03 7.3796390600e-01
7.0200000000e+03 7.3678242100e-01
7.0300000000e+03 7.3674166600e-01
7.0400000000e+03 7.3766449300e-01
7.0500000000e+03 7.3775871400e-01
7.0600000000e+03 7.3782813100e-01
