# photband: GALEX_FUV
# source: SVO Filter Profile Service
# svo_id: GALEX/GALEX.FUV
# detector_type: 1
# response_type: photon
# components: Filter + Instrument
# profile_reference: http://galexgi.gsfc.nasa.gov/docs/galex/Documents/PostLaunchFUVImagingResponseCurves.htm
# wavelength_unit: Angstrom
# columns: wavelength transmission
1.3400000000e+03 0.0000000000e+00
1.3410000000e+03 1.1540000000e+00
1.3420000000e+03 2.3080000000e+00
1.3430000000e+03 3.4620000000e+00
1.3440000000e+03 4.6160000000e+00
1.3450000000e+03 5.7700000000e+00
1.3460000000e+03 6.9240000000e+00
1.3470000000e+03 8.0780000000e+00
1.3480000000e+03 9.2320000000e+00
1.3490000000e+03 1.0386000000e+01
1.3500000000e+03 1.1540000000e+01
1.3510000000e+03 1.1845600000e+01
1.3520000000e+03 1.2151200000e+01
1.3530000000e+03 1.2456800000e+01
1.3540000000e+03 1.2762400000e+01
1.3550000000e+03 1.3068000000e+01
1.3560000000e+03 1.3373600000e+01
1.3570000000e+03 1.3679200000e+01
1.3580000000e+03 1.3984800000e+01
1.3590000000e+03 1.4290400000e+01
1.3600000000e+03 1.4596000000e+01
1.3610000000e+03 1.4901600000e+01
1.3620000000e+03 1.5207200000e+01
1.3630000000e+03 1.5512800000e+01
1.3640000000e+03 1.5818400000e+01
1.3650000000e+03 1.6124000000e+01
1.3660000000e+03 1.6429600000e+01
1.3670000000e+03 1.6735200000e+01
1.3680000000e+03 1.7040800000e+01
1.3690000000e+03 1.7346400000e+01
1.3700000000e+03 1.7652000000e+01
1.3710000000e+03 1.7664200000e+01
1.3720000000e+03 1.7676400000e+01
1.3730000000e+03 1.7688600000e+01
1.3740000000e+03 1.7700800000e+01
1.3750000000e+03 1.7713000000e+01
1.3760000000e+03 1.7725200000e+01
1.3770000000e+03 1.7737400000e+01
1.3780000000e+03 1.7749600000e+01
1.3790000000e+03 1.7761800000e+01
1.3800000000e+03 1.7774000000e+01
1.3810000000e+03 1.7492800000e+01
1.3820000000e+03 1.7211600000e+01
1.3830000000e+03 1.6930400000e+01
1.3840000000e+03 1.6649200000e+01
1.3850000000e+03 1.6368000000e+01
1.3860000000e+03 1.6086800000e+01
1.3870000000e+03 1.5805600000e+01
1.3880000000e+03 1.5524400000e+01
1.3890000000e+03 1.5243200000e+01
1.3900000000e+03 1.4962000000e+01
1.3910000000e+03 1.4680800000e+01
1.3920000000e+03 1.4399600000e+01
1.3930000000e+03 1.4118400000e+01
1.3940000000e+03 1.3837200000e+01
1.3950000000e+03 1.3556000000e+01
1.3960000000e+03 1.3274800000e+01
1.3970000000e+03 1.2993600000e+01
1.3980000000e+03 1.2712400000e+01
1.3990000000e+03 1.2431200000e+01
1.4000000000e+03 1.2150000000e+01
1.4010000000e+03 1.2674400000e+01
1.4020000000e+03 1.3198800000e+01
1.4030000000e+03 1.3723200000e+01
1.4040000000e+03 1.4247600000e+01
1.4050000000e+03 1.4772000000e+01
1.4060000000e+03 1.5296400000e+01
1.4070000000e+03 1.5820800000e+01
1.4080000000e+03 1.6345200000e+01
1.4090000000e+03 1.6869600000e+01
1.4100000000e+03 1.7394000000e+01
1.4110000000e+03 1.7918400000e+01
1.4120000000e+03 1.8442800000e+01
1.4130000000e+03 1.8967200000e+01
1.4140000000e+03 1.9491600000e+01
1.4150000000e+03 2.0016000000e+01
1.4160000000e+03 2.0540400000e+01
1.4170000000e+03 2.1064800000e+01
1.4180000000e+03 2.1589200000e+01
1.4190000000e+03 2.2113600000e+01
1.4200000000e+03 2.2638000000e+01
1.4210000000e+03 2.3078400000e+01
1.4220000000e+03 2.3518800000e+01
1.4230000000e+03 2.3959200000e+01
1.4240000000e+03 2.4399600000e+01
1.4250000000e+03 2.4840000000e+01
1.4260000000e+03 2.5280400000e+01
1.4270000000e+03 2.5720800000e+01
1.4280000000e+03 2.6161200000e+01
1.4290000000e+03 2.6601600000e+01
1.4300000000e+03 2.7042000000e+01
1.4310000000e+03 2.7398400000e+01
1.4320000000e+03 2.7754800000e+01
1.4330000000e+03 2.8111200000e+01
1.4340000000e+03 2.8467600000e+01
1.4350000000e+03 2.8824000000e+01
1.4360000000e+03 2.9180400000e+01
1.4370000000e+03 2.9536800000e+01
1.4380000000e+03 2.9893200000e+01
1.4390000000e+03 3.0249600000e+01
1.4400000000e+03 3.0606000000e+01
1.4410000000e+03 3.0993700000e+01
1.4420000000e+03 3.1318800000e+01
1.4430000000e+03 3.1675200000e+01
1.4440000000e+03 3.2031600000e+01
1.4450000000e+03 3.2388000000e+01
1.4460000000e+03 3.2744400000e+01
1.4470000000e+03 3.3100800000e+01
1.4480000000e+03 3.3457200000e+01
1.4490000000e+03 3.3813600000e+01
1.4500000000e+03 3.4170000000e+01
1.4510000000e+03 3.4294400000e+01
1.4520000000e+03 3.4418800000e+01
1.4530000000e+03 3.4543200000e+01
1.4540000000e+03 3.4667600000e+01
1.4550000000e+03 3.4792000000e+01
1.4560000000e+03 3.4916400000e+01
1.4570000000e+03 3.5040800000e+01
1.4580000000e+03 3.5165200000e+01
1.4590000000e+03 3.5289600000e+01
1.4600000000e+03 3.5414000000e+01
1.4610000000e+03 3.5538400000e+01
1.4620000000e+03 3.5662800000e+01
1.4630000000e+03 3.5787200000e+01
1.4640000000e+03 3.5911600000e+01
1.4650000000e+03 3.6036000000e+01
1.4660000000e+03 3.6160400000e+01
1.4670000000e+03 3.6284800000e+01
1.4680000000e+03 3.6409200000e+01
1.4690000000e+03 3.6533600000e+01
1.4700000000e+03 3.6658000000e+01
1.4710000000e+03 3.6672800000e+01
1.4720000000e+03 3.6687600000e+01
1.4730000000e+03 3.6702400000e+01
1.4740000000e+03 3.6717200000e+01
1.4750000000e+03 3.6732000000e+01
1.4760000000e+03 3.6746800000e+01
1.4770000000e+03 3.6761600000e+01
1.4780000000e+03 3.6776400000e+01
1.4790000000e+03 3.6791200000e+01
1.4800000000e+03 3.6806000000e+01
1.4810000000e+03 3.6711200000e+01
1.4820000000e+03 3.6616400000e+01
1.4830000000e+03 3.6521600000e+01
1.4840000000e+03 3.6426800000e+01
1.4850000000e+03 3.6332000000e+01
1.4860000000e+03 3.6237200000e+01
1.4870000000e+03 3.6142400000e+01
1.4880000000e+03 3.6047600000e+01
1.4890000000e+03 3.5952800000e+01
1.4900000000e+03 3.5858000000e+01
1.4910000000e+03 3.5763200000e+01
1.4920000000e+03 3.5668400000e+01
1.4930000000e+03 3.5573600000e+01
1.4940000000e+03 3.5478800000e+01
1.4950000000e+03 3.5384000000e+01
1.4960000000e+03 3.5289200000e+01
1.4970000000e+03 3.5194400000e+01
1.4980000000e+03 3.5099600000e+01
1.4990000000e+03 3.5004800000e+01
1.5000000000e+03 3.4910000000e+01
1.5010000000e+03 3.4898800000e+01
1.5020000000e+03 3.4887600000e+01
1.5030000000e+03 3.4876400000e+01
1.5040000000e+03 3.4865200000e+01
1.5050000000e+03 3.4854000000e+01
1.5060000000e+03 3.4842800000e+01
1.5070000000e+03 3.4831600000e+01
1.5080000000e+03 3.4820400000e+01
1.5090000000e+03 3.4809200000e+01
1.5100000000e+03 3.4798000000e+01
1.5110000000e+03 3.4786800000e+01
1.5120000000e+03 3.4775600000e+01
1.5130000000e+03 3.4764400000e+01
1.5140000000e+03 3.4753200000e+01
1.5150000000e+03 3.4742000000e+01
1.5160000000e+03 3.4730800000e+01
1.5170000000e+03 3.4719600000e+01
1.5180000000e+03 3.4708400000e+01
1.5190000000e+03 3.4697200000e+01
1.5200000000e+03 3.4686000000e+01
1.5210000000e+03 3.4511600000e+01
1.5220000000e+03 3.4337200000e+01
1.5230000000e+03 3.4162800000e+01
1.5240000000e+03 3.3988400000e+01
1.5250000000e+03 3.3814000000e+01
1.5260000000e+03 3.3639600000e+01
1.5270000000e+03 3.3465200000e+01
1.5280000000e+03 3.3290800000e+01
1.5290000000e+03 3.3116400000e+01
1.5300000000e+03 3.2942000000e+01
1.5310000000e+03 3.2604400000e+01
1.5320000000e+03 3.2266800000e+01
1.5330000000e+03 3.1929200000e+01
1.5340000000e+03 3.1591600000e+01
1.5350000000e+03 3.1254000000e+01
1.5360000000e+03 3.0916400000e+01
1.5370000000e+03 3.0578800000e+01
1.5380000000e+03 3.0241200000e+01
1.5390000000e+03 2.9903600000e+01
1.5400000000e+03 2.9566000000e+01
1.5410000000e+03 2.9228400000e+01
1.5420000000e+03 2.8890800000e+01
1.5430000000e+03 2.8553200000e+01
1.5440000000e+03 2.8215600000e+01
1.5450000000e+03 2.7878000000e+01
1.5460000000e+03 2.7540400000e+01
1.5470000000e+03 2.7202800000e+01
1.5480000000e+03 2.6865200000e+01
1.5490000000e+03 2.6527600000e+01
1.5500000000e+03 2.6190000000e+01
1.5510000000e+03 2.6179700000e+01
1.5520000000e+03 2.6169300000e+01
1.5530000000e+03 2.6159000000e+01
1.5540000000e+03 2.6148700000e+01
1.5550000000e+03 2.6138300000e+01
1.5560000000e+03 2.6128000000e+01
1.5570000000e+03 2.6117700000e+01
1.5580000000e+03 2.6107400000e+01
1.5590000000e+03 2.6097000000e+01
1.5600000000e+03 2.6086700000e+01
1.5610000000e+03 2.6076400000e+01
1.5620000000e+03 2.6066000000e+01
1.5630000000e+03 2.6055700000e+01
1.5640000000e+03 2.6045300000e+01
1.5650000000e+03 2.6035000000e+01
1.5660000000e+03 2.6024700000e+01
1.5670000000e+03 2.6014300000e+01
1.5680000000e+03 2.6004000000e+01
1.5690000000e+03 2.5993600000e+01
1.5700000000e+03 2.5983300000e+01
1.5710000000e+03 2.5973000000e+01
1.5720000000e+03 2.5962600000e+01
1.5730000000e+03 2.5952300000e+01
1.5740000000e+03 2.5942000000e+01
1.5750000000e+03 2.5931600000e+01
1.5760000000e+03 2.5921300000e+01
1.5770000000e+03 2.5911000000e+01
1.5780000000e+03 2.5900700000e+01
1.5790000000e+03 2.5890300000e+01
1.5800000000e+03 2.5880000000e+01
1.5810000000e+03 2.5869700000e+01
1.5820000000e+03 2.5859300000e+01
1.5830000000e+03 2.5849000000e+01
1.5840000000e+03 2.5838700000e+01
1.5850000000e+03 2.5828400000e+01
1.5860000000e+03 2.5818000000e+01
1.5870000000e+03 2.5807700000e+01
1.5880000000e+03 2.5797400000e+01
1.5890000000e+03 2.5787000000e+01
1.5900000000e+03 2.5776700000e+01
1.5910000000e+03 2.5766400000e+01
1.5920000000e+03 2.5756000000e+01
1.5930000000e+03 2.5745700000e+01
1.5940000000e+03 2.5735300000e+01
1.5950000000e+03 2.5725000000e+01
1.5960000000e+03 2.5714700000e+01
1.5970000000e+03 2.5704300000e+01
1.5980000000e+03 2.5694000000e+01
1.5990000000e+03 2.5683600000e+01
1.6000000000e+03 2.5673300000e+01
1.6010000000e+03 2.5663000000e+01
1.6020000000e+03 2.5652600000e+01
1.6030000000e+03 2.5642300000e+01
1.6040000000e+03 2.5632000000e+01
1.6050000000e+03 2.5621700000e+01
1.6060000000e+03 2.5611300000e+01
1.6070000000e+03 2.5601000000e+01
1.6080000000e+03 2.5590700000e+01
1.6090000000e+03 2.5580300000e+01
1.6100000000e+03 2.5570000000e+01
1.6110000000e+03 2.5329000000e+01
1.6120000000e+03 2.5088000000e+01
1.6130000000e+03 2.4847000000e+01
1.6140000000e+03 2.4606000000e+01
1.6150000000e+03 2.4365000000e+01
1.6160000000e+03 2.4124000000e+01
1.6170000000e+03 2.3883000000e+01
1.6180000000e+03 2.3642000000e+01
1.6190000000e+03 2.3401000000e+01
1.6200000000e+03 2.3160000000e+01
1.6210000000e+03 2.2919000000e+01
1.6220000000e+03 2.2678000000e+01
1.6230000000e+03 2.2437000000e+01
1.6240000000e+03 2.2196000000e+01
1.6250000000e+03 2.1955000000e+01
1.6260000000e+03 2.1714000000e+01
1.6270000000e+03 2.1473000000e+01
1.6280000000e+03 2.1232000000e+01
1.6290000000e+03 2.0991000000e+01
1.6300000000e+03 2.0750000000e+01
1.6310000000e+03 2.0509000000e+01
1.6320000000e+03 2.0268000000e+01
1.6330000000e+03 2.0027000000e+01
1.6340000000e+03 1.9786000000e+01
1.6350000000e+03 1.9545000000e+01
1.6360000000e+03 1.9304000000e+01
1.6370000000e+03 1.9063000000e+01
1.6380000000e+03 1.8822000000e+01
1.6390000000e+03 1.8581000000e+01
1.6400000000e+03 1.8340000000e+01
1.6410000000e+03 1.8099000000e+01
1.6420000000e+03 1.7858000000e+01
1.6430000000e+03 1.7617000000e+01
1.6440000000e+03 1.7376000000e+01
1.6450000000e+03 1.7135000000e+01
1.6460000000e+03 1.6894000000e+01
1.6470000000e+03 1.6653000000e+01
1.6480000000e+03 1.6412000000e+01
1.6490000000e+03 1.6171000000e+01
1.6500000000e+03 1.5930000000e+01
1.6510000000e+03 1.5855400000e+01
1.6520000000e+03 1.5780800000e+01
1.6530000000e+03 1.5706200000e+01
1.6540000000e+03 1.5631600000e+01
1.6550000000e+03 1.5557000000e+01
1.6560000000e+03 1.5482400000e+01
1.6570000000e+03 1.5407800000e+01
1.6580000000e+03 1.5333200000e+01
1.6590000000e+03 1.5258600000e+01
1.6600000000e+03 1.5184000000e+01
1.6610000000e+03 1.5109400000e+01
1.6620000000e+03 1.5034800000e+01
1.6630000000e+03 1.4960200000e+01
1.6640000000e+03 1.4885600000e+01
1.6650000000e+03 1.4811000000e+01
1.6660000000e+03 1.4736400000e+01
1.6670000000e+03 1.4661800000e+01
1.6680000000e+03 1.4587200000e+01
1.6690000000e+03 1.4512600000e+01
1.6700000000e+03 1.4438000000e+01
1.6710000000e+03 1.4363400000e+01
1.6720000000e+03 1.4288800000e+01
1.6730000000e+03 1.4214200000e+01
1.6740000000e+03 1.4139600000e+01
1.6750000000e+03 1.4065000000e+01
1.6760000000e+03 1.3990400000e+01
1.6770000000e+03 1.3915800000e+01
1.6780000000e+03 1.3841200000e+01
1.6790000000e+03 1.3766600000e+01
1.6800000000e+03 1.3692000000e+01
1.6810000000e+03 1.3617400000e+01
1.6820000000e+03 1.3542800000e+01
1.6830000000e+03 1.3468200000e+01
1.6840000000e+03 1.3393600000e+01
1.6850000000e+03 1.3319000000e+01
1.6860000000e+03 1.3244400000e+01
1.6870000000e+03 1.3169800000e+01
1.6880000000e+03 1.3095200000e+01
1.6890000000e+03 1.3020600000e+01
1.6900000000e+03 1.2946000000e+01
1.6910000000e+03 1.2871400000e+01
1.6920000000e+03 1.2796800000e+01
1.6930000000e+03 1.2722200000e+01
1.6940000000e+03 1.2647600000e+01
1.6950000000e+03 1.2573000000e+01
1.6960000000e+03 1.2498400000e+01
1.6970000000e+03 1.2423800000e+01
1.6980000000e+03 1.2349200000e+01
1.6990000000e+03 1.2274600000e+01
1.7000000000e+03 1.2200000000e+01
1.7010000000e+03 1.2167000000e+01
1.7020000000e+03 1.2134000000e+01
1.7030000000e+03 1.2101000000e+01
1.7040000000e+03 1.2068000000e+01
1.7050000000e+03 1.2035000000e+01
1.7060000000e+03 1.2002000000e+01
1.7070000000e+03 1.1969000000e+01
1.7080000000e+03 1.1936000000e+01
1.7090000000e+03 1.1903000000e+01
1.7100000000e+03 1.1870000000e+01
1.7110000000e+03 1.1837000000e+01
1.7120000000e+03 1.1804000000e+01
1.7130000000e+03 1.1771000000e+01
1.7140000000e+03 1.1738000000e+01
1.7150000000e+03 1.1705000000e+01
1.7160000000e+03 1.1672000000e+01
1.7170000000e+03 1.1639000000e+01
1.7180000000e+03 1.1606000000e+01
1.7190000000e+03 1.1573000000e+01
1.7200000000e+03 1.1540000000e+01
1.7210000000e+03 1.1507000000e+01
1.7220000000e+03 1.1474000000e+01
1.7230000000e+03 1.1441000000e+01
1.7240000000e+03 1.1408000000e+01
1.7250000000e+03 1.1375000000e+01
1.7260000000e+03 1.1342000000e+01
1.7270000000e+03 1.1309000000e+01
1.7280000000e+03 1.1276000000e+01
1.7290000000e+03 1.1243000000e+01
1.7300000000e+03 1.1210000000e+01
1.7310000000e+03 1.1177000000e+01
1.7320000000e+03 1.1144000000e+01
1.7330000000e+03 1.1111000000e+01
1.7340000000e+03 1.1078000000e+01
1.7350000000e+03 1.1045000000e+01
1.7360000000e+03 1.1012000000e+01
1.7370000000e+03 1.0979000000e+01
1.7380000000e+03 1.0946000000e+01
1.7390000000e+03 1.0913000000e+01
1.7400000000e+03 1.0880000000e+01
1.7410000000e+03 1.0847000000e+01
1.7420000000e+03 1.0814000000e+01
1.7430000000e+03 1.0781000000e+01
1.7440000000e+03 1.0748000000e+01
1.7450000000e+03 1.0715000000e+01
1.7460000000e+03 1.0682000000e+01
1.7470000000e+03 1.0649000000e+01
1.7480000000e+03 1.0616000000e+01
1.7490000000e+03 1.0583000000e+01
1.7500000000e+03 1.0550000000e+01
1.7510000000e+03 1.0359600000e+01
1.7520000000e+03 1.0169200000e+01
1.7530000000e+03 9.9788000000e+00
1.7540000000e+03 9.7884000000e+00
1.7550000000e+03 9.5980000000e+00
1.7560000000e+03 9.4076000000e+00
1.7570000000e+03 9.2172000000e+00
1.7580000000e+03 9.0268000000e+00
1.7590000000e+03 8.8364000000e+00
1.7600000000e+03 8.6460000000e+00
1.7610000000e+03 8.4556000000e+00
1.7620000000e+03 8.2652000000e+00
1.7630000000e+03 8.0748000000e+00
1.7640000000e+03 7.8844000000e+00
1.7650000000e+03 7.6940000000e+00
1.7660000000e+03 7.5036000000e+00
1.7670000000e+03 7.3132000000e+00
1.7680000000e+03 7.1228000000e+00
1.7690000000e+03 6.9324000000e+00
1.7700000000e+03 6.7420000000e+00
1.7710000000e+03 6.5516000000e+00
1.7720000000e+03 6.3612000000e+00
1.7730000000e+03 6.1708000000e+00
1.7740000000e+03 5.9804000000e+00
1.7750000000e+03 5.7900000000e+00
1.7760000000e+03 5.5996000000e+00
1.7770000000e+03 5.4092000000e+00
1.7780000000e+03 5.2188000000e+00
1.7790000000e+03 5.0284000000e+00
1.7800000000e+03 4.8380000000e+00
1.7810000000e+03 4.6476000000e+00
1.7820000000e+03 4.4572000000e+00
1.7830000000e+03 4.2668000000e+00
1.7840000000e+03 4.0764000000e+00
1.7850000000e+03 3.8860000000e+00
1.7860000000e+03 3.6956000000e+00
1.7870000000e+03 3.5052000000e+00
1.7880000000e+03 3.3148000000e+00
1.7890000000e+03 3.1244000000e+00
1.7900000000e+03 2.9340000000e+00
1.7910000000e+03 2.7436000000e+00
1.7920000000e+03 2.5532000000e+00
1.7930000000e+03 2.3628000000e+00
1.7940000000e+03 2.1724000000e+00
1.7950000000e+03 1.9820000000e+00
1.7960000000e+03 1.7916000000e+00
1.7970000000e+03 1.6012000000e+00
1.7980000000e+03 1.4108000000e+00
1.7990000000e+03 1.2204000000e+00
1.8000000000e+03 1.0300000000e+00
1.8010000000e+03 9.2700000000e-01
1.8020000000e+03 8.2400000000e-01
1.8030000000e+03 7.2100000000e-01
1.8040000000e+03 6.1800000000e-01
1.8050000000e+03 5.1500000000e-01
1.8060000000e+03 4.1200000000e-01
1.8070000000e+03 3.0900000000e-01
1.8080000000e+03 2.0600000000e-01
1.8090000000e+03 1.0300000000e-01
1.8100000000e+03 0.0000000000e+00
