# photband: GALEX_NUV
# source: SVO Filter Profile Service
# svo_id: GALEX/GALEX.NUV
# detector_type: 1
# response_type: photon
# components: Filter + Instrument
# profile_reference: http://galexgi.gsfc.nasa.gov/docs/galex/Documents/PostLaunchNUVImagingResponseCurves.htm
# wavelength_unit: Angstrom
# columns: wavelength transmission
1.6900000000e+03 0.0000000000e+00
1.6910000000e+03 2.4500000000e-01
1.6920000000e+03 4.9000000000e-01
1.6930000000e+03 7.3500000000e-01
1.6940000000e+03 9.8000000000e-01
1.6950000000e+03 1.2250000000e+00
1.6960000000e+03 1.4700000000e+00
1.6970000000e+03 1.7150000000e+00
1.6980000000e+03 1.9600000000e+00
1.6990000000e+03 2.2050000000e+00
1.7000000000e+03 2.4500000000e+00
1.7010000000e+03 2.4676000000e+00
1.7020000000e+03 2.4852000000e+00
1.7030000000e+03 2.5028000000e+00
1.7040000000e+03 2.5204000000e+00
1.7050000000e+03 2.5380000000e+00
1.7060000000e+03 2.5556000000e+00
1.7070000000e+03 2.5732000000e+00
1.7080000000e+03 2.5908000000e+00
1.7090000000e+03 2.6084000000e+00
1.7100000000e+03 2.6260000000e+00
1.7110000000e+03 2.6436000000e+00
1.7120000000e+03 2.6612000000e+00
1.7130000000e+03 2.6788000000e+00
1.7140000000e+03 2.6964000000e+00
1.7150000000e+03 2.7140000000e+00
1.7160000000e+03 2.7316000000e+00
1.7170000000e+03 2.7492000000e+00
1.7180000000e+03 2.7668000000e+00
1.7190000000e+03 2.7844000000e+00
1.7200000000e+03 2.8020000000e+00
1.7210000000e+03 2.8196000000e+00
1.7220000000e+03 2.8372000000e+00
1.7230000000e+03 2.8548000000e+00
1.7240000000e+03 2.8724000000e+00
1.7250000000e+03 2.8900000000e+00
1.7260000000e+03 2.9076000000e+00
1.7270000000e+03 2.9252000000e+00
1.7280000000e+03 2.9428000000e+00
1.7290000000e+03 2.9604000000e+00
1.7300000000e+03 2.9780000000e+00
1.7310000000e+03 2.9956000000e+00
1.7320000000e+03 3.0132000000e+00
1.7330000000e+03 3.0308000000e+00
1.7340000000e+03 3.0484000000e+00
1.7350000000e+03 3.0660000000e+00
1.7360000000e+03 3.0836000000e+00
1.7370000000e+03 3.1012000000e+00
1.7380000000e+03 3.1188000000e+00
1.7390000000e+03 3.1364000000e+00
1.7400000000e+03 3.1540000000e+00
1.7410000000e+03 3.1716000000e+00
1.7420000000e+03 3.1892000000e+00
1.7430000000e+03 3.2068000000e+00
1.7440000000e+03 3.2244000000e+00
1.7450000000e+03 3.2420000000e+00
1.7460000000e+03 3.2596000000e+00
1.7470000000e+03 3.2772000000e+00
1.7480000000e+03 3.2948000000e+00
1.7490000000e+03 3.3124000000e+00
1.7500000000e+03 3.3300000000e+00
1.7510000000e+03 3.4672000000e+00
1.7520000000e+03 3.6044000000e+00
1.7530000000e+03 3.7416000000e+00
1.7540000000e+03 3.8788000000e+00
1.7550000000e+03 4.0160000000e+00
1.7560000000e+03 4.1532000000e+00
1.7570000000e+03 4.2904000000e+00
1.7580000000e+03 4.4276000000e+00
1.7590000000e+03 4.5648000000e+00
1.7600000000e+03 4.7020000000e+00
1.7610000000e+03 4.8392000000e+00
1.7620000000e+03 4.9764000000e+00
1.7630000000e+03 5.1136000000e+00
1.7640000000e+03 5.2508000000e+00
1.7650000000e+03 5.3880000000e+00
1.7660000000e+03 5.5252000000e+00
1.7670000000e+03 5.6624000000e+00
1.7680000000e+03 5.7996000000e+00
1.7690000000e+03 5.9368000000e+00
1.7700000000e+03 6.0740000000e+00
1.7710000000e+03 6.2112000000e+00
1.7720000000e+03 6.3484000000e+00
1.7730000000e+03 6.4856000000e+00
1.7740000000e+03 6.6228000000e+00
1.7750000000e+03 6.7600000000e+00
1.7760000000e+03 6.8972000000e+00
1.7770000000e+03 7.0344000000e+00
1.7780000000e+03 7.1716000000e+00
1.7790000000e+03 7.3088000000e+00
1.7800000000e+03 7.4460000000e+00
1.7810000000e+03 7.5832000000e+00
1.7820000000e+03 7.7204000000e+00
1.7830000000e+03 7.8576000000e+00
1.7840000000e+03 7.9948000000e+00
1.7850000000e+03 8.1320000000e+00
1.7860000000e+03 8.2692000000e+00
1.7870000000e+03 8.4064000000e+00
1.7880000000e+03 8.5436000000e+00
1.7890000000e+03 8.6808000000e+00
1.7900000000e+03 8.8180000000e+00
1.7910000000e+03 8.9552000000e+00
1.7920000000e+03 9.0924000000e+00
1.7930000000e+03 9.2296000000e+00
1.7940000000e+03 9.3668000000e+00
1.7950000000e+03 9.5040000000e+00
1.7960000000e+03 9.6412000000e+00
1.7970000000e+03 9.7784000000e+00
1.7980000000e+03 9.9156000000e+00
1.7990000000e+03 1.0052800000e+01
1.8000000000e+03 1.0190000000e+01
1.8010000000e+03 1.0338000000e+01
1.8020000000e+03 1.0486000000e+01
1.8030000000e+03 1.0634000000e+01
1.8040000000e+03 1.0782000000e+01
1.8050000000e+03 1.0930000000e+01
1.8060000000e+03 1.1078000000e+01
1.8070000000e+03 1.1226000000e+01
1.8080000000e+03 1.1374000000e+01
1.8090000000e+03 1.1522000000e+01
1.8100000000e+03 1.1670000000e+01
1.8110000000e+03 1.1818000000e+01
1.8120000000e+03 1.1966000000e+01
1.8130000000e+03 1.2114000000e+01
1.8140000000e+03 1.2262000000e+01
1.8150000000e+03 1.2410000000e+01
1.8160000000e+03 1.2558000000e+01
