# photband: HST_ACS_WFC_F814W
# source: SVO Filter Profile Service
# svo_id: HST/ACS_WFC.F814W
# detector_type: 1
# response_type: photon
# components: Filter + CCD + Instrument
# profile_reference: https://stsynphot.readthedocs.io/en/latest/stsynphot/appendixb.html
# wavelength_unit: Angstrom
# columns: wavelength transmission
6.7375000000e+03 9.9853100000e-05
6.7380000000e+03 1.1407900000e-04
6.7385000000e+03 1.2830400000e-04
6.7390000000e+03 1.4252900000e-04
6.7395000000e+03 1.5675300000e-04
6.7400000000e+03 1.7097600000e-04
6.7405000000e+03 1.8520300000e-04
6.7410000000e+03 1.9943000000e-04
6.7415000000e+03 2.1365700000e-04
6.7420000000e+03 2.2788400000e-04
6.7425000000e+03 2.4211000000e-04
6.7430000000e+03 2.5633700000e-04
6.7435000000e+03 2.7056400000e-04
6.7440000000e+03 2.8479200000e-04
6.7445000000e+03 2.9901800000e-04
6.7450000000e+03 3.1324500000e-04
6.7455000000e+03 3.2747100000e-04
6.7460000000e+03 3.4169800000e-04
6.7465000000e+03 3.5592500000e-04
6.7470000000e+03 3.7015100000e-04
6.7475000000e+03 3.8437800000e-04
6.7480000000e+03 3.9860600000e-04
6.7485000000e+03 4.1283200000e-04
6.7490000000e+03 4.2705800000e-04
6.7495000000e+03 4.4128400000e-04
6.7500000000e+03 4.5551100000e-04
6.7505000000e+03 4.6976000000e-04
6.7510000000e+03 4.8401100000e-04
6.7515000000e+03 4.9826300000e-04
6.7520000000e+03 5.1251600000e-04
6.7525000000e+03 5.2677000000e-04
6.7530000000e+03 5.4102500000e-04
6.7535000000e+03 5.5528300000e-04
6.7540000000e+03 5.6954200000e-04
6.7545000000e+03 5.8380100000e-04
6.7550000000e+03 5.9806100000e-04
6.7555000000e+03 6.1232400000e-04
6.7560000000e+03 6.2658800000e-04
6.7565000000e+03 6.4085300000e-04
6.7570000000e+03 6.5511900000e-04
6.7575000000e+03 6.6938700000e-04
6.7580000000e+03 6.8365700000e-04
6.7585000000e+03 6.9792700000e-04
6.7590000000e+03 7.1219900000e-04
6.7595000000e+03 7.2647200000e-04
6.7600000000e+03 7.4074600000e-04
6.7605000000e+03 7.5494300000e-04
6.7610000000e+03 7.6913800000e-04
6.7615000000e+03 7.8333000000e-04
6.7620000000e+03 7.9751900000e-04
6.7625000000e+03 8.1170900000e-04
6.7630000000e+03 8.2589600000e-04
6.7635000000e+03 8.4008200000e-04
6.7640000000e+03 8.5426600000e-04
6.7645000000e+03 8.6844800000e-04
6.7650000000e+03 8.8262800000e-04
6.7655000000e+03 8.9680800000e-04
6.7660000000e+03 9.1098500000e-04
6.7665000000e+03 9.2516100000e-04
6.7670000000e+03 9.3933500000e-04
6.7675000000e+03 9.5350700000e-04
6.7680000000e+03 9.6767700000e-04
6.7685000000e+03 9.8184500000e-04
6.7690000000e+03 9.9601200000e-04
6.7695000000e+03 1.0101800000e-03
6.7700000000e+03 1.0243400000e-03
6.7705000000e+03 1.0385800000e-03
6.7710000000e+03 1.0528300000e-03
6.7715000000e+03 1.0670700000e-03
6.7720000000e+03 1.0813200000e-03
6.7725000000e+03 1.0955700000e-03
6.7730000000e+03 1.1098100000e-03
6.7735000000e+03 1.1240600000e-03
6.7740000000e+03 1.1383000000e-03
6.7745000000e+03 1.1525500000e-03
6.7750000000e+03 1.1668000000e-03
6.7755000000e+03 1.1810500000e-03
6.7760000000e+03 1.1953000000e-03
6.7765000000e+03 1.2095500000e-03
6.7770000000e+03 1.2238000000e-03
6.7775000000e+03 1.2380500000e-03
6.7780000000e+03 1.2523000000e-03
6.7785000000e+03 1.2665500000e-03
6.7790000000e+03 1.2808100000e-03
6.7795000000e+03 1.2950600000e-03
6.7800000000e+03 1.3093100000e-03
6.7805000000e+03 1.3235600000e-03
6.7810000000e+03 1.3378100000e-03
6.7815000000e+03 1.3520500000e-03
6.7820000000e+03 1.3663000000e-03
6.7825000000e+03 1.3805500000e-03
6.7830000000e+03 1.3947900000e-03
6.7835000000e+03 1.4090400000e-03
6.7840000000e+03 1.4232900000e-03
6.7845000000e+03 1.4375400000e-03
6.7850000000e+03 1.4517900000e-03
6.7855000000e+03 1.4660400000e-03
6.7860000000e+03 1.4802900000e-03
6.7865000000e+03 1.4945400000e-03
6.7870000000e+03 1.5087900000e-03
6.7875000000e+03 1.5230400000e-03
6.7880000000e+03 1.5372900000e-03
6.7885000000e+03 1.5515400000e-03
6.7890000000e+03 1.5657900000e-03
6.7895000000e+03 1.5800400000e-03
6.7900000000e+03 1.5942900000e-03
6.7905000000e+03 1.6085100000e-03
6.7910000000e+03 1.6227200000e-03
6.7915000000e+03 1.6369300000e-03
6.7920000000e+03 1.6511300000e-03
6.7925000000e+03 1.6653400000e-03
6.7930000000e+03 1.6795500000e-03
6.7935000000e+03 1.6937600000e-03
6.7940000000e+03 1.7079600000e-03
6.7945000000e+03 1.7221700000e-03
6.7950000000e+03 1.7363800000e-03
6.7955000000e+03 1.7505800000e-03
6.7960000000e+03 1.7647900000e-03
6.7965000000e+03 1.7789900000e-03
6.7970000000e+03 1.7931900000e-03
6.7975000000e+03 1.8074000000e-03
6.7980000000e+03 1.8216000000e-03
6.7985000000e+03 1.8358100000e-03
6.7990000000e+03 1.8500100000e-03
6.7995000000e+03 1.8642100000e-03
6.8000000000e+03 1.8784100000e-03
6.8005000000e+03 1.8926100000e-03
6.8010000000e+03 1.9068000000e-03
6.8015000000e+03 1.9210000000e-03
6.8020000000e+03 1.9351900000e-03
6.8025000000e+03 1.9493800000e-03
