# photband: HST_WFC3_F160W
# source: SVO Filter Profile Service
# svo_id: HST/WFC3_IR.F160W
# detector_type: 1
# response_type: photon
# components: Filter + CCD + Instrument
# profile_reference: https://www.stsci.edu/hst/instrumentation/wfc3/performance/throughputs
# wavelength_unit: Angstrom
# columns: wavelength transmission
1.3663735352e+04 1.2102600000e-04
1.3670000000e+04 1.6213800000e-04
1.3680000000e+04 2.2749700000e-04
1.3683740234e+04 2.5185900000e-04
1.3690000000e+04 2.7540200000e-04
1.3700000000e+04 3.1285900000e-04
1.3703746094e+04 3.2684100000e-04
1.3710000000e+04 3.7393800000e-04
1.3720000000e+04 4.4893900000e-04
1.3723750977e+04 4.7697400000e-04
1.3730000000e+04 5.2362600000e-04
1.3740000000e+04 5.9797500000e-04
1.3743756836e+04 6.2600100000e-04
1.3750000000e+04 6.8910300000e-04
1.3760000000e+04 7.8924900000e-04
1.3763761719e+04 8.2678900000e-04
1.3770000000e+04 1.0059600000e-03
1.3780000000e+04 1.2919900000e-03
1.3783767578e+04 1.3993800000e-03
1.3790000000e+04 1.5935300000e-03
1.3800000000e+04 1.9037600000e-03
1.3803773438e+04 2.0208600000e-03
1.3810000000e+04 2.2436300000e-03
1.3820000000e+04 2.6002700000e-03
1.3823778320e+04 2.7346600000e-03
1.3830000000e+04 3.1859200000e-03
1.3840000000e+04 3.9244600000e-03
1.3843784180e+04 4.2047100000e-03
1.3850000000e+04 4.9887500000e-03
1.3860000000e+04 6.2593200000e-03
1.3863789062e+04 6.7405300000e-03
1.3870000000e+04 8.0700600000e-03
1.3880000000e+04 1.0217600000e-02
1.3883794922e+04 1.1034800000e-02
1.3890000000e+04 1.3306600000e-02
1.3900000000e+04 1.6979600000e-02
1.3903799805e+04 1.8379100000e-02
1.3910000000e+04 2.2672100000e-02
1.3920000000e+04 2.9618300000e-02
1.3923805664e+04 3.2269000000e-02
1.3930000000e+04 4.1747500000e-02
1.3940000000e+04 5.7098400000e-02
1.3943810547e+04 6.2963900000e-02
1.3950000000e+04 7.8952600000e-02
1.3960000000e+04 1.0486700000e-01
1.3963817383e+04 1.1478700000e-01
1.3970000000e+04 1.4209700000e-01
1.3980000000e+04 1.8641100000e-01
1.3983822266e+04 2.0339500000e-01
1.3990000000e+04 2.3993400000e-01
1.4000000000e+04 2.9926800000e-01
1.4003827148e+04 3.2191700000e-01
1.4010000000e+04 3.5115400000e-01
1.4020000000e+04 3.9859500000e-01
1.4023833008e+04 4.1680400000e-01
1.4030000000e+04 4.3539000000e-01
1.4040000000e+04 4.6557600000e-01
1.4043837891e+04 4.7717600000e-01
1.4050000000e+04 4.8348900000e-01
1.4060000000e+04 4.9374900000e-01
1.4063843750e+04 4.9769800000e-01
1.4070000000e+04 4.9891900000e-01
1.4080000000e+04 5.0131300000e-01
1.4083848633e+04 5.0207900000e-01
1.4090000000e+04 5.0201000000e-01
1.4100000000e+04 5.0189700000e-01
1.4103855469e+04 5.0185400000e-01
1.4110000000e+04 5.0146000000e-01
1.4120000000e+04 5.0081800000e-01
1.4123860352e+04 5.0057000000e-01
1.4130000000e+04 5.0104400000e-01
1.4140000000e+04 5.0181600000e-01
1.4143865234e+04 5.0211400000e-01
1.4150000000e+04 5.0311800000e-01
1.4160000000e+04 5.0475500000e-01
1.4163871094e+04 5.0538900000e-01
1.4170000000e+04 5.0726600000e-01
1.4180000000e+04 5.1033200000e-01
1.4183875977e+04 5.1152200000e-01
1.4190000000e+04 5.1422400000e-01
1.4200000000e+04 5.1822000000e-01
1.4203881836e+04 5.1975300000e-01
1.4210000000e+04 5.2247600000e-01
1.4220000000e+04 5.2692800000e-01
