# photband: HST_WFC3_F475W
# source: SVO Filter Profile Service
# svo_id: HST/WFC3_UVIS1.F475W
# detector_type: 1
# response_type: photon
# components: Filter + CCD + Instrument
# profile_reference: https://www.stsci.edu/hst/instrumentation/wfc3/performance/throughputs
# wavelength_unit: Angstrom
# columns: wavelength transmission
3.8930000000e+03 5.7117300000e-05
3.8940000000e+03 6.1633700000e-05
3.8950000000e+03 6.6155100000e-05
3.8960000000e+03 7.0681500000e-05
3.8970000000e+03 7.5219400000e-05
3.8980000000e+03 7.9756100000e-05
3.8990000000e+03 8.4297800000e-05
3.9000000000e+03 8.8844600000e-05
3.9010000000e+03 9.3404300000e-05
3.9011049800e+03 9.3882400000e-05
3.9020000000e+03 1.0416900000e-04
3.9030000000e+03 1.1567300000e-04
3.9040000000e+03 1.2719100000e-04
3.9050000000e+03 1.3873300000e-04
3.9060000000e+03 1.5027600000e-04
3.9070000000e+03 1.6183300000e-04
3.9080000000e+03 1.7340200000e-04
3.9090000000e+03 1.8499900000e-04
3.9100000000e+03 1.9659500000e-04
3.9110000000e+03 2.0820200000e-04
3.9111074220e+03 2.0945000000e-04
3.9120000000e+03 2.3227300000e-04
3.9130000000e+03 2.5789200000e-04
3.9140000000e+03 2.8351900000e-04
3.9150000000e+03 3.0917400000e-04
3.9160000000e+03 3.3485600000e-04
3.9170000000e+03 3.6059800000e-04
3.9180000000e+03 3.8633900000e-04
3.9190000000e+03 4.1210700000e-04
3.9200000000e+03 4.3790400000e-04
3.9210000000e+03 4.6376800000e-04
3.9211101070e+03 4.6661400000e-04
3.9220000000e+03 5.1878400000e-04
3.9230000000e+03 5.7747000000e-04
3.9240000000e+03 6.3622000000e-04
3.9250000000e+03 6.9509300000e-04
3.9260000000e+03 7.5397500000e-04
3.9270000000e+03 8.1292000000e-04
3.9280000000e+03 8.7192900000e-04
3.9290000000e+03 9.3108300000e-04
3.9300000000e+03 9.9022400000e-04
3.9310000000e+03 1.0494300000e-03
3.9311127930e+03 1.0561100000e-03
3.9320000000e+03 1.1734500000e-03
3.9330000000e+03 1.3059600000e-03
3.9340000000e+03 1.4385100000e-03
3.9350000000e+03 1.5712000000e-03
3.9360000000e+03 1.7040300000e-03
3.9370000000e+03 1.8371700000e-03
3.9380000000e+03 1.9703000000e-03
3.9390000000e+03 2.1035700000e-03
3.9400000000e+03 2.2369900000e-03
3.9410000000e+03 2.3707500000e-03
3.9411154790e+03 2.3861800000e-03
3.9420000000e+03 2.6382100000e-03
3.9430000000e+03 2.9234300000e-03
3.9440000000e+03 3.2089500000e-03
3.9450000000e+03 3.4950900000e-03
3.9460000000e+03 3.7812400000e-03
3.9470000000e+03 4.0677100000e-03
3.9480000000e+03 4.3544800000e-03
3.9490000000e+03 4.6419500000e-03
3.9500000000e+03 4.9293600000e-03
3.9510000000e+03 5.2170600000e-03
3.9511179200e+03 5.2510100000e-03
3.9520000000e+03 5.7593100000e-03
3.9530000000e+03 6.3366800000e-03
3.9540000000e+03 6.9141800000e-03
3.9550000000e+03 7.4922800000e-03
3.9560000000e+03 8.0710000000e-03
3.9570000000e+03 8.6510700000e-03
3.9580000000e+03 9.2310600000e-03
3.9590000000e+03 9.8116700000e-03
3.9600000000e+03 1.0392900000e-02
3.9610000000e+03 1.0974700000e-02
3.9611206050e+03 1.1045000000e-02
3.9620000000e+03 1.1978200000e-02
3.9630000000e+03 1.3039500000e-02
3.9640000000e+03 1.4101800000e-02
3.9650000000e+03 1.5165300000e-02
3.9660000000e+03 1.6231400000e-02
3.9670000000e+03 1.7297200000e-02
3.9680000000e+03 1.8364100000e-02
3.9690000000e+03 1.9432200000e-02
3.9700000000e+03 2.0503100000e-02
3.9710000000e+03 2.1573500000e-02
3.9711232910e+03 2.1705500000e-02
3.9720000000e+03 2.3185600000e-02
3.9730000000e+03 2.4875500000e-02
3.9740000000e+03 2.6569400000e-02
3.9750000000e+03 2.8263000000e-02
3.9760000000e+03 2.9958300000e-02
3.9770000000e+03 3.1655400000e-02
3.9780000000e+03 3.3357100000e-02
3.9790000000e+03 3.5057800000e-02
3.9800000000e+03 3.6760400000e-02
3.9810000000e+03 3.8464600000e-02
3.9811257320e+03 3.8679400000e-02
3.9820000000e+03 4.0562400000e-02
3.9830000000e+03 4.2715000000e-02
3.9840000000e+03 4.4869800000e-02
3.9850000000e+03 4.7026900000e-02
3.9860000000e+03 4.9186100000e-02
3.9870000000e+03 5.1352000000e-02
3.9880000000e+03 5.3515900000e-02
3.9890000000e+03 5.5682100000e-02
3.9900000000e+03 5.7850400000e-02
3.9910000000e+03 6.0026100000e-02
3.9911284180e+03 6.0305000000e-02
3.9920000000e+03 6.2344800000e-02
3.9930000000e+03 6.4687500000e-02
3.9940000000e+03 6.7032500000e-02
3.9950000000e+03 6.9385900000e-02
3.9960000000e+03 7.1735900000e-02
3.9970000000e+03 7.4088300000e-02
3.9980000000e+03 7.6443100000e-02
3.9990000000e+03 7.8807100000e-02
4.0000000000e+03 8.1166900000e-02
4.0010000000e+03 8.3498000000e-02
4.0011311040e+03 8.3803700000e-02
4.0020000000e+03 8.5789100000e-02
