# photband: PS1_g
# source: SVO Filter Profile Service
# svo_id: PAN-STARRS/PS1.g
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://ipp.ifa.hawaii.edu/ps1.filters/
# wavelength_unit: Angstrom
# columns: wavelength transmission
3.9200000000e+03 1.0000000000e-03
3.9300000000e+03 2.0000000000e-03
3.9400000000e+03 4.0000000000e-03
3.9500000000e+03 7.0000000000e-03
3.9600000000e+03 1.2000000000e-02
3.9700000000e+03 2.1000000000e-02
3.9800000000e+03 3.5000000000e-02
3.9900000000e+03 5.3000000000e-02
4.0000000000e+03 7.3000000000e-02
4.0100000000e+03 9.6000000000e-02
4.0200000000e+03 1.1800000000e-01
4.0300000000e+03 1.3500000000e-01
4.0400000000e+03 1.4700000000e-01
4.0500000000e+03 1.5700000000e-01
4.0600000000e+03 1.6300000000e-01
4.0700000000e+03 1.6700000000e-01
4.0800000000e+03 1.7100000000e-01
4.0900000000e+03 1.7500000000e-01
4.1000000000e+03 1.8100000000e-01
4.1100000000e+03 1.8600000000e-01
4.1200000000e+03 1.9200000000e-01
4.1300000000e+03 1.9900000000e-01
4.1400000000e+03 2.0400000000e-01
4.1500000000e+03 2.0600000000e-01
4.1600000000e+03 2.0800000000e-01
4.1700000000e+03 2.1100000000e-01
4.1800000000e+03 2.1700000000e-01
4.1900000000e+03 2.2500000000e-01
4.2000000000e+03 2.3300000000e-01
4.2100000000e+03 2.4000000000e-01
4.2200000000e+03 2.4600000000e-01
4.2300000000e+03 2.4900000000e-01
4.2400000000e+03 2.5000000000e-01
4.2500000000e+03 2.5000000000e-01
4.2600000000e+03 2.5300000000e-01
4.2700000000e+03 2.5900000000e-01
4.2800000000e+03 2.6800000000e-01
4.2900000000e+03 2.7700000000e-01
4.3000000000e+03 2.8600000000e-01
4.3100000000e+03 2.9500000000e-01
4.3200000000e+03 3.0000000000e-01
4.3300000000e+03 3.0200000000e-01
4.3400000000e+03 3.0200000000e-01
4.3500000000e+03 3.0400000000e-01
4.3600000000e+03 3.0900000000e-01
4.3700000000e+03 3.1600000000e-01
4.3800000000e+03 3.2300000000e-01
4.3900000000e+03 3.3000000000e-01
4.4000000000e+03 3.3600000000e-01
4.4100000000e+03 3.4000000000e-01
4.4200000000e+03 3.4100000000e-01
4.4300000000e+03 3.4200000000e-01
4.4400000000e+03 3.4400000000e-01
4.4500000000e+03 3.4800000000e-01
4.4600000000e+03 3.5400000000e-01
4.4700000000e+03 3.6100000000e-01
4.4800000000e+03 3.6800000000e-01
4.4900000000e+03 3.7400000000e-01
4.5000000000e+03 3.8000000000e-01
4.5100000000e+03 3.8600000000e-01
4.5200000000e+03 3.9200000000e-01
4.5300000000e+03 3.9600000000e-01
4.5400000000e+03 3.9800000000e-01
4.5500000000e+03 3.9800000000e-01
4.5600000000e+03 3.9400000000e-01
4.5700000000e+03 3.8800000000e-01
4.5800000000e+03 3.8400000000e-01
4.5900000000e+03 3.8200000000e-01
4.6000000000e+03 3.8400000000e-01
4.6100000000e+03 3.8800000000e-01
4.6200000000e+03 3.9300000000e-01
4.6300000000e+03 3.9600000000e-01
4.6400000000e+03 3.9600000000e-01
4.6500000000e+03 3.9600000000e-01
4.6600000000e+03 3.9700000000e-01
4.6700000000e+03 3.9700000000e-01
4.6800000000e+03 3.9900000000e-01
4.6900000000e+03 4.0000000000e-01
4.7000000000e+03 4.0100000000e-01
4.7100000000e+03 4.0200000000e-01
4.7200000000e+03 4.0300000000e-01
4.7300000000e+03 4.0500000000e-01
4.7400000000e+03 4.0800000000e-01
4.7500000000e+03 4.1300000000e-01
4.7600000000e+03 4.1800000000e-01
4.7700000000e+03 4.2400000000e-01
4.7800000000e+03 4.3100000000e-01
4.7900000000e+03 4.3700000000e-01
4.8000000000e+03 4.4100000000e-01
4.8100000000e+03 4.4400000000e-01
4.8200000000e+03 4.4600000000e-01
4.8300000000e+03 4.4800000000e-01
4.8400000000e+03 4.5100000000e-01
4.8500000000e+03 4.5300000000e-01
4.8600000000e+03 4.5600000000e-01
4.8700000000e+03 4.5800000000e-01
4.8800000000e+03 4.6000000000e-01
4.8900000000e+03 4.6000000000e-01
4.9000000000e+03 4.5900000000e-01
4.9100000000e+03 4.5500000000e-01
4.9200000000e+03 4.5100000000e-01
4.9300000000e+03 4.5000000000e-01
4.9400000000e+03 4.5300000000e-01
4.9500000000e+03 4.5900000000e-01
4.9600000000e+03 4.6300000000e-01
4.9700000000e+03 4.6700000000e-01
4.9800000000e+03 4.7100000000e-01
4.9900000000e+03 4.7200000000e-01
5.0000000000e+03 4.7100000000e-01
5.0100000000e+03 4.6800000000e-01
5.0200000000e+03 4.6600000000e-01
5.0300000000e+03 4.6300000000e-01
5.0400000000e+03 4.5900000000e-01
5.0500000000e+03 4.5700000000e-01
5.0600000000e+03 4.5600000000e-01
5.0700000000e+03 4.5500000000e-01
5.0800000000e+03 4.5600000000e-01
5.0900000000e+03 4.5600000000e-01
5.1000000000e+03 4.5700000000e-01
5.1100000000e+03 4.5800000000e-01
5.1200000000e+03 4.5900000000e-01
5.1300000000e+03 4.6100000000e-01
5.1400000000e+03 4.6500000000e-01
5.1500000000e+03 4.6900000000e-01
5.1600000000e+03 4.7300000000e-01
5.1700000000e+03 4.7500000000e-01
5.1800000000e+03 4.7600000000e-01
5.1900000000e+03 4.7500000000e-01
5.2000000000e+03 4.7300000000e-01
5.2100000000e+03 4.7200000000e-01
5.2200000000e+03 4.7300000000e-01
5.2300000000e+03 4.7300000000e-01
5.2400000000e+03 4.7400000000e-01
5.2500000000e+03 4.7300000000e-01
5.2600000000e+03 4.7200000000e-01
5.2700000000e+03 4.7400000000e-01
5.2800000000e+03 4.7700000000e-01
5.2900000000e+03 4.8300000000e-01
5.3000000000e+03 4.8900000000e-01
5.3100000000e+03 4.9500000000e-01
5.3200000000e+03 4.9800000000e-01
5.3300000000e+03 5.0000000000e-01
5.3400000000e+03 5.0100000000e-01
5.3500000000e+03 5.0200000000e-01
5.3600000000e+03 5.0200000000e-01
5.3700000000e+03 5.0200000000e-01
5.3800000000e+03 5.0200000000e-01
5.3900000000e+03 5.0200000000e-01
5.4000000000e+03 5.0100000000e-01
5.4100000000e+03 5.0000000000e-01
5.4200000000e+03 4.9600000000e-01
5.4300000000e+03 4.9300000000e-01
5.4400000000e+03 4.8900000000e-01
5.4500000000e+03 4.8600000000e-01
5.4600000000e+03 4.8100000000e-01
5.4700000000e+03 4.6700000000e-01
5.4800000000e+03 4.3800000000e-01
5.4900000000e+03 3.9000000000e-01
5.5000000000e+03 3.2300000000e-01
5.5100000000e+03 2.4800000000e-01
5.5200000000e+03 1.7500000000e-01
5.5300000000e+03 1.1300000000e-01
5.5400000000e+03 6.8000000000e-02
5.5500000000e+03 4.1000000000e-02
5.5600000000e+03 2.5000000000e-02
5.5700000000e+03 1.5000000000e-02
5.5800000000e+03 9.0000000000e-03
5.5900000000e+03 6.0000000000e-03
5.6000000000e+03 3.0000000000e-03
5.6100000000e+03 2.0000000000e-03
5.6200000000e+03 2.0000000000e-03
5.6300000000e+03 1.0000000000e-03
