# photband: PS1_r
# source: SVO Filter Profile Service
# svo_id: PAN-STARRS/PS1.r
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://ipp.ifa.hawaii.edu/ps1.filters/
# wavelength_unit: Angstrom
# columns: wavelength transmission
5.3300000000e+03 1.0000000000e-03
5.3400000000e+03 2.0000000000e-03
5.3500000000e+03 2.0000000000e-03
5.3600000000e+03 3.0000000000e-03
5.3700000000e+03 4.0000000000e-03
5.3800000000e+03 5.0000000000e-03
5.3900000000e+03 8.0000000000e-03
5.4000000000e+03 1.1000000000e-02
5.4100000000e+03 1.7000000000e-02
5.4200000000e+03 2.6000000000e-02
5.4300000000e+03 4.0000000000e-02
5.4400000000e+03 6.2000000000e-02
5.4500000000e+03 9.3000000000e-02
5.4600000000e+03 1.3400000000e-01
5.4700000000e+03 1.8400000000e-01
5.4800000000e+03 2.4200000000e-01
5.4900000000e+03 3.0500000000e-01
5.5000000000e+03 3.6700000000e-01
5.5100000000e+03 4.2300000000e-01
5.5200000000e+03 4.6900000000e-01
5.5300000000e+03 5.0400000000e-01
5.5400000000e+03 5.2800000000e-01
5.5500000000e+03 5.4400000000e-01
5.5600000000e+03 5.5600000000e-01
5.5700000000e+03 5.6500000000e-01
5.5800000000e+03 5.7000000000e-01
5.5900000000e+03 5.7500000000e-01
5.6000000000e+03 5.7800000000e-01
5.6100000000e+03 5.8200000000e-01
5.6200000000e+03 5.8400000000e-01
5.6300000000e+03 5.8600000000e-01
5.6400000000e+03 5.8800000000e-01
5.6500000000e+03 5.9000000000e-01
5.6600000000e+03 5.9100000000e-01
5.6700000000e+03 5.9200000000e-01
5.6800000000e+03 5.9200000000e-01
5.6900000000e+03 5.9100000000e-01
5.7000000000e+03 5.9100000000e-01
5.7100000000e+03 5.8900000000e-01
5.7200000000e+03 5.8600000000e-01
5.7300000000e+03 5.8300000000e-01
5.7400000000e+03 5.8100000000e-01
5.7500000000e+03 5.8200000000e-01
5.7600000000e+03 5.8600000000e-01
5.7700000000e+03 5.9200000000e-01
5.7800000000e+03 5.9900000000e-01
5.7900000000e+03 6.0600000000e-01
5.8000000000e+03 6.1200000000e-01
5.8100000000e+03 6.1500000000e-01
5.8200000000e+03 6.1700000000e-01
5.8300000000e+03 6.1700000000e-01
5.8400000000e+03 6.1600000000e-01
5.8500000000e+03 6.1400000000e-01
5.8600000000e+03 6.1100000000e-01
5.8700000000e+03 6.0900000000e-01
5.8800000000e+03 6.0900000000e-01
5.8900000000e+03 6.1000000000e-01
5.9000000000e+03 6.1500000000e-01
5.9100000000e+03 6.2100000000e-01
5.9200000000e+03 6.2300000000e-01
5.9300000000e+03 6.2300000000e-01
5.9400000000e+03 6.2100000000e-01
5.9500000000e+03 6.2100000000e-01
5.9600000000e+03 6.2400000000e-01
5.9700000000e+03 6.2800000000e-01
5.9800000000e+03 6.3300000000e-01
5.9900000000e+03 6.3800000000e-01
6.0000000000e+03 6.4100000000e-01
6.0100000000e+03 6.4200000000e-01
6.0200000000e+03 6.4400000000e-01
6.0300000000e+03 6.4700000000e-01
6.0400000000e+03 6.4900000000e-01
6.0500000000e+03 6.5100000000e-01
6.0600000000e+03 6.5200000000e-01
6.0700000000e+03 6.5300000000e-01
6.0800000000e+03 6.5400000000e-01
6.0900000000e+03 6.5500000000e-01
6.1000000000e+03 6.5500000000e-01
6.1100000000e+03 6.5600000000e-01
6.1200000000e+03 6.5600000000e-01
6.1300000000e+03 6.5700000000e-01
6.1400000000e+03 6.5600000000e-01
6.1500000000e+03 6.5300000000e-01
6.1600000000e+03 6.4800000000e-01
6.1700000000e+03 6.4300000000e-01
6.1800000000e+03 6.4000000000e-01
6.1900000000e+03 6.4000000000e-01
6.2000000000e+03 6.4200000000e-01
6.2100000000e+03 6.4500000000e-01
6.2200000000e+03 6.4800000000e-01
6.2300000000e+03 6.4700000000e-01
6.2400000000e+03 6.4600000000e-01
6.2500000000e+03 6.4600000000e-01
6.2600000000e+03 6.4800000000e-01
6.2700000000e+03 6.5200000000e-01
6.2800000000e+03 6.4100000000e-01
6.2900000000e+03 6.5500000000e-01
6.3000000000e+03 6.5700000000e-01
6.3100000000e+03 6.6200000000e-01
6.3200000000e+03 6.6200000000e-01
6.3300000000e+03 6.6000000000e-01
6.3400000000e+03 6.6000000000e-01
6.3500000000e+03 6.6000000000e-01
6.3600000000e+03 6.6300000000e-01
6.3700000000e+03 6.6800000000e-01
6.3800000000e+03 6.7300000000e-01
6.3900000000e+03 6.7800000000e-01
6.4000000000e+03 6.8100000000e-01
6.4100000000e+03 6.8400000000e-01
6.4200000000e+03 6.8500000000e-01
6.4300000000e+03 6.8600000000e-01
6.4400000000e+03 6.8700000000e-01
6.4500000000e+03 6.8600000000e-01
6.4600000000e+03 6.8500000000e-01
6.4700000000e+03 6.8400000000e-01
6.4800000000e+03 6.8300000000e-01
6.4900000000e+03 6.8300000000e-01
6.5000000000e+03 6.8500000000e-01
6.5100000000e+03 6.8600000000e-01
6.5200000000e+03 6.8400000000e-01
6.5300000000e+03 6.8600000000e-01
6.5400000000e+03 6.8700000000e-01
6.5500000000e+03 6.8400000000e-01
6.5600000000e+03 6.8400000000e-01
6.5700000000e+03 6.8200000000e-01
6.5800000000e+03 6.8200000000e-01
6.5900000000e+03 6.8100000000e-01
6.6000000000e+03 6.7900000000e-01
6.6100000000e+03 6.7700000000e-01
6.6200000000e+03 6.7500000000e-01
6.6300000000e+03 6.7200000000e-01
6.6400000000e+03 6.6900000000e-01
6.6500000000e+03 6.6600000000e-01
6.6600000000e+03 6.6400000000e-01
6.6700000000e+03 6.6300000000e-01
6.6800000000e+03 6.6300000000e-01
6.6900000000e+03 6.6300000000e-01
6.7000000000e+03 6.6300000000e-01
6.7100000000e+03 6.6200000000e-01
6.7200000000e+03 6.6200000000e-01
6.7300000000e+03 6.6000000000e-01
6.7400000000e+03 6.5800000000e-01
6.7500000000e+03 6.5500000000e-01
6.7600000000e+03 6.5200000000e-01
6.7700000000e+03 6.4900000000e-01
6.7800000000e+03 6.4400000000e-01
6.7900000000e+03 6.3900000000e-01
6.8000000000e+03 6.3300000000e-01
6.8100000000e+03 6.2600000000e-01
6.8200000000e+03 6.1700000000e-01
6.8300000000e+03 6.0800000000e-01
6.8400000000e+03 5.9500000000e-01
6.8500000000e+03 5.7900000000e-01
6.8600000000e+03 5.5600000000e-01
6.8700000000e+03 4.2700000000e-01
6.8800000000e+03 4.2800000000e-01
6.8900000000e+03 3.9100000000e-01
6.9000000000e+03 3.4600000000e-01
6.9100000000e+03 3.0500000000e-01
6.9200000000e+03 2.5500000000e-01
6.9300000000e+03 2.0400000000e-01
6.9400000000e+03 1.5600000000e-01
6.9500000000e+03 1.1600000000e-01
6.9600000000e+03 8.4000000000e-02
6.9700000000e+03 6.0000000000e-02
6.9800000000e+03 4.2000000000e-02
6.9900000000e+03 2.9000000000e-02
7.0000000000e+03 2.1000000000e-02
7.0100000000e+03 1.5000000000e-02
7.0200000000e+03 1.1000000000e-02
7.0300000000e+03 8.0000000000e-03
7.0400000000e+03 6.0000000000e-03
7.0500000000e+03 5.0000000000e-03
7.0600000000e+03 4.0000000000e-03
7.0700000000e+03 3.0000000000e-03
7.0800000000e+03 2.0000000000e-03
7.0900000000e+03 2.0000000000e-03
7.1000000000e+03 1.0000000000e-03
