# photband: PS1_y
# source: SVO Filter Profile Service
# svo_id: PAN-STARRS/PS1.y
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://ipp.ifa.hawaii.edu/ps1.filters/
# wavelength_unit: Angstrom
# columns: wavelength transmission
9.0000000000e+03 1.0000000000e-03
9.0100000000e+03 2.0000000000e-03
9.0200000000e+03 2.0000000000e-03
9.0300000000e+03 2.0000000000e-03
9.0400000000e+03 2.0000000000e-03
9.0500000000e+03 2.0000000000e-03
9.0600000000e+03 3.0000000000e-03
9.0700000000e+03 3.0000000000e-03
9.0800000000e+03 3.0000000000e-03
9.0900000000e+03 5.0000000000e-03
9.1000000000e+03 6.0000000000e-03
9.1100000000e+03 9.0000000000e-03
9.1200000000e+03 1.5000000000e-02
9.1300000000e+03 2.4000000000e-02
9.1400000000e+03 4.0000000000e-02
9.1500000000e+03 6.6000000000e-02
9.1600000000e+03 9.8000000000e-02
9.1700000000e+03 1.5200000000e-01
9.1800000000e+03 1.9900000000e-01
9.1900000000e+03 2.7100000000e-01
9.2000000000e+03 3.3500000000e-01
9.2100000000e+03 4.0300000000e-01
9.2200000000e+03 4.5100000000e-01
9.2300000000e+03 5.0600000000e-01
9.2400000000e+03 5.3900000000e-01
9.2500000000e+03 5.6500000000e-01
9.2600000000e+03 5.9100000000e-01
9.2700000000e+03 6.1500000000e-01
9.2800000000e+03 5.9700000000e-01
9.2900000000e+03 6.0100000000e-01
9.3000000000e+03 5.7000000000e-01
9.3100000000e+03 5.4300000000e-01
9.3200000000e+03 5.0100000000e-01
9.3300000000e+03 4.8600000000e-01
9.3400000000e+03 4.3500000000e-01
9.3500000000e+03 4.6400000000e-01
9.3600000000e+03 4.0100000000e-01
9.3700000000e+03 4.3500000000e-01
9.3800000000e+03 4.4100000000e-01
9.3900000000e+03 5.1300000000e-01
9.4000000000e+03 5.2900000000e-01
9.4100000000e+03 4.9800000000e-01
9.4200000000e+03 4.9900000000e-01
9.4300000000e+03 4.3100000000e-01
9.4400000000e+03 4.1900000000e-01
9.4500000000e+03 4.7100000000e-01
9.4600000000e+03 3.8600000000e-01
9.4700000000e+03 4.5900000000e-01
9.4800000000e+03 4.0400000000e-01
9.4900000000e+03 4.8700000000e-01
9.5000000000e+03 3.4900000000e-01
9.5100000000e+03 4.8000000000e-01
9.5200000000e+03 3.8600000000e-01
9.5300000000e+03 4.2200000000e-01
9.5400000000e+03 4.3500000000e-01
9.5500000000e+03 4.1300000000e-01
9.5600000000e+03 4.0200000000e-01
9.5700000000e+03 3.8800000000e-01
9.5800000000e+03 4.1200000000e-01
9.5900000000e+03 3.9500000000e-01
9.6000000000e+03 4.0100000000e-01
9.6100000000e+03 4.0100000000e-01
9.6200000000e+03 3.9400000000e-01
9.6300000000e+03 3.9900000000e-01
9.6400000000e+03 3.8600000000e-01
9.6500000000e+03 3.8700000000e-01
9.6600000000e+03 3.8200000000e-01
9.6700000000e+03 3.8100000000e-01
9.6800000000e+03 3.8800000000e-01
9.6900000000e+03 3.9000000000e-01
9.7000000000e+03 3.7800000000e-01
9.7100000000e+03 3.8000000000e-01
9.7200000000e+03 3.6800000000e-01
9.7300000000e+03 3.5800000000e-01
9.7400000000e+03 3.4900000000e-01
9.7500000000e+03 3.4100000000e-01
9.7600000000e+03 3.3700000000e-01
9.7700000000e+03 3.3500000000e-01
9.7800000000e+03 3.2700000000e-01
9.7900000000e+03 3.2600000000e-01
9.8000000000e+03 3.1500000000e-01
9.8100000000e+03 3.1800000000e-01
9.8200000000e+03 3.1100000000e-01
9.8300000000e+03 3.0200000000e-01
9.8400000000e+03 3.0100000000e-01
9.8500000000e+03 2.9200000000e-01
9.8600000000e+03 2.9000000000e-01
9.8700000000e+03 2.8200000000e-01
9.8800000000e+03 2.7400000000e-01
9.8900000000e+03 2.6800000000e-01
9.9000000000e+03 2.6000000000e-01
9.9100000000e+03 2.5500000000e-01
9.9200000000e+03 2.5000000000e-01
9.9300000000e+03 2.4300000000e-01
9.9400000000e+03 2.3800000000e-01
9.9500000000e+03 2.3200000000e-01
9.9600000000e+03 2.2700000000e-01
9.9700000000e+03 2.2100000000e-01
9.9800000000e+03 2.1600000000e-01
9.9900000000e+03 2.1100000000e-01
1.0000000000e+04 2.0500000000e-01
1.0010000000e+04 2.0000000000e-01
1.0020000000e+04 1.9500000000e-01
1.0030000000e+04 1.8900000000e-01
1.0040000000e+04 1.8300000000e-01
1.0050000000e+04 1.7800000000e-01
1.0060000000e+04 1.7300000000e-01
1.0070000000e+04 1.6800000000e-01
1.0080000000e+04 1.6200000000e-01
1.0090000000e+04 1.5700000000e-01
1.0100000000e+04 1.5200000000e-01
1.0110000000e+04 1.4700000000e-01
1.0120000000e+04 1.4100000000e-01
1.0130000000e+04 1.3600000000e-01
1.0140000000e+04 1.3100000000e-01
1.0150000000e+04 1.2700000000e-01
1.0160000000e+04 1.2400000000e-01
1.0170000000e+04 1.2000000000e-01
1.0180000000e+04 1.1600000000e-01
1.0190000000e+04 1.1100000000e-01
1.0200000000e+04 1.0600000000e-01
1.0210000000e+04 1.0200000000e-01
1.0220000000e+04 9.7000000000e-02
1.0230000000e+04 9.4000000000e-02
1.0240000000e+04 9.1000000000e-02
1.0250000000e+04 8.8000000000e-02
1.0260000000e+04 8.4000000000e-02
1.0270000000e+04 8.1000000000e-02
1.0280000000e+04 7.8000000000e-02
1.0290000000e+04 7.5000000000e-02
1.0300000000e+04 7.1000000000e-02
1.0310000000e+04 6.7000000000e-02
1.0320000000e+04 6.4000000000e-02
1.0330000000e+04 6.0000000000e-02
1.0340000000e+04 5.7000000000e-02
1.0350000000e+04 5.5000000000e-02
1.0360000000e+04 5.3000000000e-02
1.0370000000e+04 5.0000000000e-02
1.0380000000e+04 4.8000000000e-02
1.0390000000e+04 4.5000000000e-02
1.0400000000e+04 4.3000000000e-02
1.0410000000e+04 4.1000000000e-02
1.0420000000e+04 3.9000000000e-02
1.0430000000e+04 3.7000000000e-02
1.0440000000e+04 3.6000000000e-02
1.0450000000e+04 3.5000000000e-02
1.0460000000e+04 3.4000000000e-02
1.0470000000e+04 3.3000000000e-02
1.0480000000e+04 3.2000000000e-02
1.0490000000e+04 3.0000000000e-02
1.0500000000e+04 2.9000000000e-02
1.0510000000e+04 2.8000000000e-02
1.0520000000e+04 2.7000000000e-02
1.0530000000e+04 2.6000000000e-02
1.0540000000e+04 2.5000000000e-02
1.0550000000e+04 2.4000000000e-02
1.0560000000e+04 2.3000000000e-02
1.0570000000e+04 2.2000000000e-02
1.0580000000e+04 2.1000000000e-02
1.0590000000e+04 2.0000000000e-02
1.0600000000e+04 1.9000000000e-02
1.0610000000e+04 1.8000000000e-02
1.0620000000e+04 1.7000000000e-02
1.0630000000e+04 1.6000000000e-02
1.0640000000e+04 1.5000000000e-02
1.0650000000e+04 1.5000000000e-02
1.0660000000e+04 1.4000000000e-02
1.0670000000e+04 1.4000000000e-02
1.0680000000e+04 1.3000000000e-02
1.0690000000e+04 1.2000000000e-02
1.0700000000e+04 1.2000000000e-02
1.0710000000e+04 1.1000000000e-02
1.0720000000e+04 1.1000000000e-02
1.0730000000e+04 1.1000000000e-02
1.0740000000e+04 1.0000000000e-02
1.0750000000e+04 1.0000000000e-02
1.0760000000e+04 9.0000000000e-03
1.0770000000e+04 9.0000000000e-03
1.0780000000e+04 8.0000000000e-03
1.0790000000e+04 8.0000000000e-03
1.0800000000e+04 8.0000000000e-03
1.0810000000e+04 7.0000000000e-03
1.0820000000e+04 7.0000000000e-03
1.0830000000e+04 7.0000000000e-03
1.0840000000e+04 6.0000000000e-03
1.0850000000e+04 6.0000000000e-03
1.0860000000e+04 6.0000000000e-03
1.0870000000e+04 6.0000000000e-03
1.0880000000e+04 5.0000000000e-03
1.0890000000e+04 5.0000000000e-03
1.0900000000e+04 5.0000000000e-03
1.0910000000e+04 5.0000000000e-03
1.0920000000e+04 4.0000000000e-03
1.0930000000e+04 4.0000000000e-03
