# photband: PS1_z
# source: SVO Filter Profile Service
# svo_id: PAN-STARRS/PS1.z
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://ipp.ifa.hawaii.edu/ps1.filters/
# wavelength_unit: Angstrom
# columns: wavelength transmission
7.9300000000e+03 1.0000000000e-03
7.9400000000e+03 2.0000000000e-03
7.9500000000e+03 2.0000000000e-03
7.9600000000e+03 2.0000000000e-03
7.9700000000e+03 3.0000000000e-03
7.9800000000e+03 4.0000000000e-03
7.9900000000e+03 5.0000000000e-03
8.0000000000e+03 6.0000000000e-03
8.0100000000e+03 7.0000000000e-03
8.0200000000e+03 8.0000000000e-03
8.0300000000e+03 9.0000000000e-03
8.0400000000e+03 1.2000000000e-02
8.0500000000e+03 1.5000000000e-02
8.0600000000e+03 1.9000000000e-02
8.0700000000e+03 2.5000000000e-02
8.0800000000e+03 3.4000000000e-02
8.0900000000e+03 4.5000000000e-02
8.1000000000e+03 6.0000000000e-02
8.1100000000e+03 7.9000000000e-02
8.1200000000e+03 1.0100000000e-01
8.1300000000e+03 1.2900000000e-01
8.1400000000e+03 1.6000000000e-01
8.1500000000e+03 2.0300000000e-01
8.1600000000e+03 2.5200000000e-01
8.1700000000e+03 3.1800000000e-01
8.1800000000e+03 3.9700000000e-01
8.1900000000e+03 4.9900000000e-01
8.2000000000e+03 5.8800000000e-01
8.2100000000e+03 6.9600000000e-01
8.2200000000e+03 7.6100000000e-01
8.2300000000e+03 7.5000000000e-01
8.2400000000e+03 8.3300000000e-01
8.2500000000e+03 8.4900000000e-01
8.2600000000e+03 8.5000000000e-01
8.2700000000e+03 8.6300000000e-01
8.2800000000e+03 8.3900000000e-01
8.2900000000e+03 8.6000000000e-01
8.3000000000e+03 8.5800000000e-01
8.3100000000e+03 8.5700000000e-01
8.3200000000e+03 8.4500000000e-01
8.3300000000e+03 8.6200000000e-01
8.3400000000e+03 8.5700000000e-01
8.3500000000e+03 8.6700000000e-01
8.3600000000e+03 8.6700000000e-01
8.3700000000e+03 8.7700000000e-01
8.3800000000e+03 8.7900000000e-01
8.3900000000e+03 8.8000000000e-01
8.4000000000e+03 8.8000000000e-01
8.4100000000e+03 8.7600000000e-01
8.4200000000e+03 8.7300000000e-01
8.4300000000e+03 8.7100000000e-01
8.4400000000e+03 8.6900000000e-01
8.4500000000e+03 8.6900000000e-01
8.4600000000e+03 8.6800000000e-01
8.4700000000e+03 8.6800000000e-01
8.4800000000e+03 8.6700000000e-01
8.4900000000e+03 8.6600000000e-01
8.5000000000e+03 8.6500000000e-01
8.5100000000e+03 8.6300000000e-01
8.5200000000e+03 8.6100000000e-01
8.5300000000e+03 8.5800000000e-01
8.5400000000e+03 8.5500000000e-01
8.5500000000e+03 8.5400000000e-01
8.5600000000e+03 8.5200000000e-01
8.5700000000e+03 8.5000000000e-01
8.5800000000e+03 8.4800000000e-01
8.5900000000e+03 8.4800000000e-01
