# photband: SDSS_g
# source: SVO Filter Profile Service
# svo_id: SLOAN/SDSS.g
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://www.sdss.org/dr7/instruments/imager/index.html
# wavelength_unit: Angstrom
# columns: wavelength transmission
3.6300000000e+03 0.0000000000e+00
3.6550000000e+03 3.0000000000e-04
3.6800000000e+03 8.0000000000e-04
3.7050000000e+03 1.3000000000e-03
3.7300000000e+03 1.9000000000e-03
3.7550000000e+03 2.4000000000e-03
3.7800000000e+03 3.4000000000e-03
3.8050000000e+03 5.5000000000e-03
3.8300000000e+03 1.0300000000e-02
3.8550000000e+03 1.9400000000e-02
3.8800000000e+03 3.2600000000e-02
3.9050000000e+03 4.9200000000e-02
3.9300000000e+03 6.8600000000e-02
3.9550000000e+03 9.0000000000e-02
3.9800000000e+03 1.1230000000e-01
4.0050000000e+03 1.3420000000e-01
4.0300000000e+03 1.5450000000e-01
4.0550000000e+03 1.7220000000e-01
4.0800000000e+03 1.8730000000e-01
4.1050000000e+03 2.0030000000e-01
4.1300000000e+03 2.1160000000e-01
4.1550000000e+03 2.2140000000e-01
4.1800000000e+03 2.3010000000e-01
4.2050000000e+03 2.3780000000e-01
4.2300000000e+03 2.4480000000e-01
4.2550000000e+03 2.5130000000e-01
4.2800000000e+03 2.5740000000e-01
4.3050000000e+03 2.6330000000e-01
4.3300000000e+03 2.6910000000e-01
4.3550000000e+03 2.7470000000e-01
4.3800000000e+03 2.8010000000e-01
4.4050000000e+03 2.8520000000e-01
4.4300000000e+03 2.8990000000e-01
4.4550000000e+03 2.9400000000e-01
4.4800000000e+03 2.9790000000e-01
4.5050000000e+03 3.0160000000e-01
4.5300000000e+03 3.0550000000e-01
4.5550000000e+03 3.0970000000e-01
4.5800000000e+03 3.1410000000e-01
4.6050000000e+03 3.1840000000e-01
4.6300000000e+03 3.2240000000e-01
4.6550000000e+03 3.2570000000e-01
4.6800000000e+03 3.2840000000e-01
4.7050000000e+03 3.3070000000e-01
4.7300000000e+03 3.3270000000e-01
4.7550000000e+03 3.3460000000e-01
4.7800000000e+03 3.3640000000e-01
4.8050000000e+03 3.3830000000e-01
4.8300000000e+03 3.4030000000e-01
4.8550000000e+03 3.4250000000e-01
4.8800000000e+03 3.4480000000e-01
4.9050000000e+03 3.4720000000e-01
4.9300000000e+03 3.4950000000e-01
4.9550000000e+03 3.5190000000e-01
4.9800000000e+03 3.5410000000e-01
5.0050000000e+03 3.5620000000e-01
5.0300000000e+03 3.5810000000e-01
5.0550000000e+03 3.5970000000e-01
5.0800000000e+03 3.6090000000e-01
5.1050000000e+03 3.6130000000e-01
5.1300000000e+03 3.6090000000e-01
5.1550000000e+03 3.5950000000e-01
5.1800000000e+03 3.5810000000e-01
5.2050000000e+03 3.5580000000e-01
5.2300000000e+03 3.4520000000e-01
5.2550000000e+03 3.1940000000e-01
5.2800000000e+03 2.8070000000e-01
5.3050000000e+03 2.3390000000e-01
5.3300000000e+03 1.8390000000e-01
5.3550000000e+03 1.3520000000e-01
5.3800000000e+03 9.1100000000e-02
5.4050000000e+03 5.4800000000e-02
5.4300000000e+03 2.9500000000e-02
5.4550000000e+03 1.6600000000e-02
5.4800000000e+03 1.1200000000e-02
5.5050000000e+03 7.7000000000e-03
5.5300000000e+03 5.0000000000e-03
5.5550000000e+03 3.2000000000e-03
5.5800000000e+03 2.1000000000e-03
5.6050000000e+03 1.5000000000e-03
5.6300000000e+03 1.2000000000e-03
5.6550000000e+03 1.0000000000e-03
5.6800000000e+03 9.0000000000e-04
5.7050000000e+03 8.0000000000e-04
5.7300000000e+03 6.0000000000e-04
5.7550000000e+03 5.0000000000e-04
5.7800000000e+03 3.0000000000e-04
5.8050000000e+03 1.0000000000e-04
5.8300000000e+03 0.0000000000e+00
