# photband: SDSS_i
# source: SVO Filter Profile Service
# svo_id: SLOAN/SDSS.i
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://www.sdss.org/dr7/instruments/imager/index.html
# wavelength_unit: Angstrom
# columns: wavelength transmission
6.4300000000e+03 0.0000000000e+00
6.4550000000e+03 1.0000000000e-04
6.4800000000e+03 3.0000000000e-04
6.5050000000e+03 4.0000000000e-04
6.5300000000e+03 4.0000000000e-04
6.5550000000e+03 3.0000000000e-04
6.5800000000e+03 3.0000000000e-04
6.6050000000e+03 4.0000000000e-04
6.6300000000e+03 9.0000000000e-04
6.6550000000e+03 1.9000000000e-03
6.6800000000e+03 3.4000000000e-03
6.7050000000e+03 5.6000000000e-03
6.7300000000e+03 1.0300000000e-02
6.7550000000e+03 1.9400000000e-02
6.7800000000e+03 3.4400000000e-02
6.8050000000e+03 5.6100000000e-02
6.8300000000e+03 8.3900000000e-02
6.8550000000e+03 1.1640000000e-01
6.8800000000e+03 1.5280000000e-01
6.9050000000e+03 1.9480000000e-01
6.9300000000e+03 2.4080000000e-01
6.9550000000e+03 2.8570000000e-01
6.9800000000e+03 3.2330000000e-01
7.0050000000e+03 3.5030000000e-01
7.0300000000e+03 3.7590000000e-01
7.0550000000e+03 3.9900000000e-01
7.0800000000e+03 4.1620000000e-01
7.1050000000e+03 4.2330000000e-01
7.1300000000e+03 4.1650000000e-01
7.1550000000e+03 3.9430000000e-01
7.1800000000e+03 3.7600000000e-01
7.2050000000e+03 3.8230000000e-01
7.2300000000e+03 3.9180000000e-01
7.2550000000e+03 3.8920000000e-01
7.2800000000e+03 3.8280000000e-01
7.3050000000e+03 3.8200000000e-01
7.3300000000e+03 3.8840000000e-01
7.3550000000e+03 3.8720000000e-01
7.3800000000e+03 3.8210000000e-01
7.4050000000e+03 3.7870000000e-01
7.4300000000e+03 3.7590000000e-01
7.4550000000e+03 3.7270000000e-01
7.4800000000e+03 3.6810000000e-01
7.5050000000e+03 3.6180000000e-01
7.5300000000e+03 3.5650000000e-01
7.5550000000e+03 3.5540000000e-01
7.5800000000e+03 3.4780000000e-01
7.6050000000e+03 1.4730000000e-01
7.6300000000e+03 2.0960000000e-01
7.6550000000e+03 2.6480000000e-01
7.6800000000e+03 3.3000000000e-01
7.7050000000e+03 3.2560000000e-01
7.7300000000e+03 3.2230000000e-01
7.7550000000e+03 3.1790000000e-01
7.7800000000e+03 3.1290000000e-01
7.8050000000e+03 3.0770000000e-01
7.8300000000e+03 3.0260000000e-01
7.8550000000e+03 2.9800000000e-01
7.8800000000e+03 2.9440000000e-01
7.9050000000e+03 2.9210000000e-01
7.9300000000e+03 2.9160000000e-01
7.9550000000e+03 2.9210000000e-01
7.9800000000e+03 2.9270000000e-01
8.0050000000e+03 2.9230000000e-01
8.0300000000e+03 2.8960000000e-01
8.0550000000e+03 2.8400000000e-01
8.0800000000e+03 2.7580000000e-01
8.1050000000e+03 2.6420000000e-01
8.1300000000e+03 2.4270000000e-01
8.1550000000e+03 2.0910000000e-01
8.1800000000e+03 1.6890000000e-01
8.2050000000e+03 1.2760000000e-01
8.2300000000e+03 9.0100000000e-02
8.2550000000e+03 6.0300000000e-02
8.2800000000e+03 3.7800000000e-02
8.3050000000e+03 2.1800000000e-02
8.3300000000e+03 1.1700000000e-02
8.3550000000e+03 6.8000000000e-03
8.3800000000e+03 4.8000000000e-03
8.4050000000e+03 3.3000000000e-03
8.4300000000e+03 2.0000000000e-03
8.4550000000e+03 1.3000000000e-03
8.4800000000e+03 1.0000000000e-03
8.5050000000e+03 9.0000000000e-04
8.5300000000e+03 9.0000000000e-04
8.5550000000e+03 8.0000000000e-04
8.5800000000e+03 5.0000000000e-04
8.6050000000e+03 2.0000000000e-04
8.6300000000e+03 0.0000000000e+00
