# photband: SDSS_r
# source: SVO Filter Profile Service
# svo_id: SLOAN/SDSS.r
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://www.sdss.org/dr7/instruments/imager/index.html
# wavelength_unit: Angstrom
# columns: wavelength transmission
5.3800000000e+03 0.0000000000e+00
5.4050000000e+03 1.4000000000e-03
5.4300000000e+03 9.9000000000e-03
5.4550000000e+03 2.5900000000e-02
5.4800000000e+03 4.9700000000e-02
5.5050000000e+03 8.0700000000e-02
5.5300000000e+03 1.1860000000e-01
5.5550000000e+03 1.6250000000e-01
5.5800000000e+03 2.0930000000e-01
5.6050000000e+03 2.5550000000e-01
5.6300000000e+03 2.9750000000e-01
5.6550000000e+03 3.3260000000e-01
5.6800000000e+03 3.6090000000e-01
5.7050000000e+03 3.8340000000e-01
5.7300000000e+03 4.0100000000e-01
5.7550000000e+03 4.1470000000e-01
5.7800000000e+03 4.2530000000e-01
5.8050000000e+03 4.3330000000e-01
5.8300000000e+03 4.3950000000e-01
5.8550000000e+03 4.4460000000e-01
5.8800000000e+03 4.4890000000e-01
5.9050000000e+03 4.5270000000e-01
5.9300000000e+03 4.5630000000e-01
5.9550000000e+03 4.5990000000e-01
5.9800000000e+03 4.6340000000e-01
6.0050000000e+03 4.6650000000e-01
6.0300000000e+03 4.6890000000e-01
6.0550000000e+03 4.7030000000e-01
6.0800000000e+03 4.7110000000e-01
6.1050000000e+03 4.7170000000e-01
6.1300000000e+03 4.7270000000e-01
6.1550000000e+03 4.7440000000e-01
6.1800000000e+03 4.7670000000e-01
6.2050000000e+03 4.7920000000e-01
6.2300000000e+03 4.8190000000e-01
6.2550000000e+03 4.8440000000e-01
6.2800000000e+03 4.8670000000e-01
6.3050000000e+03 4.8870000000e-01
6.3300000000e+03 4.9020000000e-01
6.3550000000e+03 4.9090000000e-01
6.3800000000e+03 4.9120000000e-01
6.4050000000e+03 4.9120000000e-01
6.4300000000e+03 4.9120000000e-01
6.4550000000e+03 4.9140000000e-01
6.4800000000e+03 4.9150000000e-01
6.5050000000e+03 4.9120000000e-01
6.5300000000e+03 4.9010000000e-01
6.5550000000e+03 4.8780000000e-01
6.5800000000e+03 4.8520000000e-01
6.6050000000e+03 4.8180000000e-01
6.6300000000e+03 4.6970000000e-01
6.6550000000e+03 4.4210000000e-01
6.6800000000e+03 4.0090000000e-01
6.7050000000e+03 3.4990000000e-01
6.7300000000e+03 2.9240000000e-01
6.7550000000e+03 2.3180000000e-01
6.7800000000e+03 1.7150000000e-01
6.8050000000e+03 1.1520000000e-01
6.8300000000e+03 6.8700000000e-02
6.8550000000e+03 3.8000000000e-02
6.8800000000e+03 2.1200000000e-02
6.9050000000e+03 1.3400000000e-02
6.9300000000e+03 9.9000000000e-03
6.9550000000e+03 7.6000000000e-03
6.9800000000e+03 5.5000000000e-03
7.0050000000e+03 3.9000000000e-03
7.0300000000e+03 2.7000000000e-03
7.0550000000e+03 2.0000000000e-03
7.0800000000e+03 1.5000000000e-03
7.1050000000e+03 1.2000000000e-03
7.1300000000e+03 1.0000000000e-03
7.1550000000e+03 7.0000000000e-04
7.1800000000e+03 4.0000000000e-04
7.2050000000e+03 2.0000000000e-04
7.2300000000e+03 0.0000000000e+00
