# photband: SDSS_u
# source: SVO Filter Profile Service
# svo_id: SLOAN/SDSS.u
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://www.sdss.org/dr7/instruments/imager/index.html
# wavelength_unit: Angstrom
# columns: wavelength transmission
2.9800000000e+03 0.0000000000e+00
3.0050000000e+03 1.0000000000e-04
3.0300000000e+03 5.0000000000e-04
3.0550000000e+03 1.3000000000e-03
3.0800000000e+03 2.6000000000e-03
3.1050000000e+03 5.2000000000e-03
3.1300000000e+03 9.3000000000e-03
3.1550000000e+03 1.6100000000e-02
3.1800000000e+03 2.4000000000e-02
3.2050000000e+03 3.2300000000e-02
3.2300000000e+03 4.0500000000e-02
3.2550000000e+03 4.8500000000e-02
3.2800000000e+03 5.6100000000e-02
3.3050000000e+03 6.3400000000e-02
3.3300000000e+03 7.0000000000e-02
3.3550000000e+03 7.5600000000e-02
3.3800000000e+03 8.0300000000e-02
3.4050000000e+03 8.4800000000e-02
3.4300000000e+03 8.8300000000e-02
3.4550000000e+03 9.1700000000e-02
3.4800000000e+03 9.5900000000e-02
3.5050000000e+03 1.0010000000e-01
3.5300000000e+03 1.0290000000e-01
3.5550000000e+03 1.0440000000e-01
3.5800000000e+03 1.0530000000e-01
3.6050000000e+03 1.0630000000e-01
3.6300000000e+03 1.0750000000e-01
3.6550000000e+03 1.0850000000e-01
3.6800000000e+03 1.0840000000e-01
3.7050000000e+03 1.0640000000e-01
3.7300000000e+03 1.0240000000e-01
3.7550000000e+03 9.6600000000e-02
3.7800000000e+03 8.8700000000e-02
3.8050000000e+03 7.8700000000e-02
3.8300000000e+03 6.7200000000e-02
3.8550000000e+03 5.4900000000e-02
3.8800000000e+03 4.1300000000e-02
3.9050000000e+03 2.6800000000e-02
3.9300000000e+03 1.4500000000e-02
3.9550000000e+03 7.5000000000e-03
3.9800000000e+03 4.2000000000e-03
4.0050000000e+03 2.2000000000e-03
4.0300000000e+03 1.0000000000e-03
4.0550000000e+03 6.0000000000e-04
4.0800000000e+03 4.0000000000e-04
4.1050000000e+03 2.0000000000e-04
4.1300000000e+03 0.0000000000e+00
