# photband: SDSS_z
# source: SVO Filter Profile Service
# svo_id: SLOAN/SDSS.z
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://www.sdss.org/dr7/instruments/imager/index.html
# wavelength_unit: Angstrom
# columns: wavelength transmission
7.7300000000e+03 0.0000000000e+00
7.7550000000e+03 0.0000000000e+00
7.7800000000e+03 1.0000000000e-04
7.8050000000e+03 1.0000000000e-04
7.8300000000e+03 1.0000000000e-04
7.8550000000e+03 2.0000000000e-04
7.8800000000e+03 2.0000000000e-04
7.9050000000e+03 3.0000000000e-04
7.9300000000e+03 5.0000000000e-04
7.9550000000e+03 7.0000000000e-04
7.9800000000e+03 1.1000000000e-03
8.0050000000e+03 1.7000000000e-03
8.0300000000e+03 2.7000000000e-03
8.0550000000e+03 4.0000000000e-03
8.0800000000e+03 5.7000000000e-03
8.1050000000e+03 7.9000000000e-03
8.1300000000e+03 1.0600000000e-02
8.1550000000e+03 1.3900000000e-02
8.1800000000e+03 1.7800000000e-02
8.2050000000e+03 2.2200000000e-02
8.2300000000e+03 2.7100000000e-02
8.2550000000e+03 3.2400000000e-02
8.2800000000e+03 3.8200000000e-02
8.3050000000e+03 4.4600000000e-02
8.3300000000e+03 5.1100000000e-02
8.3550000000e+03 5.6400000000e-02
8.3800000000e+03 6.0300000000e-02
8.4050000000e+03 6.3700000000e-02
8.4300000000e+03 6.6700000000e-02
8.4550000000e+03 6.9400000000e-02
8.4800000000e+03 7.1700000000e-02
8.5050000000e+03 7.3600000000e-02
8.5300000000e+03 7.5200000000e-02
8.5550000000e+03 7.6500000000e-02
8.5800000000e+03 7.7500000000e-02
8.6050000000e+03 7.8200000000e-02
8.6300000000e+03 7.8600000000e-02
8.6550000000e+03 7.8700000000e-02
8.6800000000e+03 7.8500000000e-02
8.7050000000e+03 7.8000000000e-02
8.7300000000e+03 7.7200000000e-02
8.7550000000e+03 7.6300000000e-02
8.7800000000e+03 7.5100000000e-02
8.8050000000e+03 7.3800000000e-02
8.8300000000e+03 7.2300000000e-02
8.8550000000e+03 7.0800000000e-02
8.8800000000e+03 6.9300000000e-02
8.9050000000e+03 6.7400000000e-02
8.9300000000e+03 6.3200000000e-02
8.9550000000e+03 5.8100000000e-02
8.9800000000e+03 5.4300000000e-02
9.0050000000e+03 5.2600000000e-02
9.0300000000e+03 5.2300000000e-02
9.0550000000e+03 5.2200000000e-02
9.0800000000e+03 5.1200000000e-02
9.1050000000e+03 4.9600000000e-02
9.1300000000e+03 4.8100000000e-02
9.1550000000e+03 4.7300000000e-02
9.1800000000e+03 4.7600000000e-02
9.2050000000e+03 4.8200000000e-02
9.2300000000e+03 4.7600000000e-02
9.2550000000e+03 4.4700000000e-02
9.2800000000e+03 3.9100000000e-02
9.3050000000e+03 3.2900000000e-02
9.3300000000e+03 2.8300000000e-02
9.3550000000e+03 2.6400000000e-02
9.3800000000e+03 2.7100000000e-02
9.4050000000e+03 2.8300000000e-02
9.4300000000e+03 2.7500000000e-02
9.4550000000e+03 2.5400000000e-02
9.4800000000e+03 2.5200000000e-02
9.5050000000e+03 2.5600000000e-02
9.5300000000e+03 2.4600000000e-02
9.5550000000e+03 2.4400000000e-02
9.5800000000e+03 2.5200000000e-02
9.6050000000e+03 2.5800000000e-02
9.6300000000e+03 2.6500000000e-02
9.6550000000e+03 2.7400000000e-02
9.6800000000e+03 2.7900000000e-02
9.7050000000e+03 2.7100000000e-02
9.7300000000e+03 2.5200000000e-02
9.7550000000e+03 2.3600000000e-02
9.7800000000e+03 2.2700000000e-02
9.8050000000e+03 2.2200000000e-02
9.8300000000e+03 2.1600000000e-02
9.8550000000e+03 2.0800000000e-02
9.8800000000e+03 1.9600000000e-02
9.9050000000e+03 1.8300000000e-02
9.9300000000e+03 1.7100000000e-02
9.9550000000e+03 1.6000000000e-02
9.9800000000e+03 1.4900000000e-02
1.0005000000e+04 1.3800000000e-02
1.0030000000e+04 1.2800000000e-02
1.0055000000e+04 1.1800000000e-02
1.0080000000e+04 1.0800000000e-02
1.0105000000e+04 9.9000000000e-03
1.0130000000e+04 9.1000000000e-03
1.0155000000e+04 8.3000000000e-03
1.0180000000e+04 7.5000000000e-03
1.0205000000e+04 6.8000000000e-03
1.0230000000e+04 6.1000000000e-03
1.0255000000e+04 5.5000000000e-03
1.0280000000e+04 5.0000000000e-03
1.0305000000e+04 4.5000000000e-03
1.0330000000e+04 4.1000000000e-03
1.0355000000e+04 3.7000000000e-03
1.0380000000e+04 3.3000000000e-03
1.0405000000e+04 3.0000000000e-03
1.0430000000e+04 2.7000000000e-03
1.0455000000e+04 2.5000000000e-03
1.0480000000e+04 2.3000000000e-03
1.0505000000e+04 2.1000000000e-03
1.0530000000e+04 1.9000000000e-03
1.0555000000e+04 1.8000000000e-03
1.0580000000e+04 1.7000000000e-03
1.0605000000e+04 1.6000000000e-03
1.0630000000e+04 1.5000000000e-03
1.0655000000e+04 1.4000000000e-03
1.0680000000e+04 1.3000000000e-03
1.0705000000e+04 1.2000000000e-03
1.0730000000e+04 1.1000000000e-03
1.0755000000e+04 1.0000000000e-03
1.0780000000e+04 9.0000000000e-04
1.0805000000e+04 8.0000000000e-04
1.0830000000e+04 8.0000000000e-04
1.0855000000e+04 7.0000000000e-04
1.0880000000e+04 6.0000000000e-04
1.0905000000e+04 6.0000000000e-04
1.0930000000e+04 6.0000000000e-04
1.0955000000e+04 5.0000000000e-04
1.0980000000e+04 5.0000000000e-04
1.1005000000e+04 4.0000000000e-04
1.1030000000e+04 4.0000000000e-04
1.1055000000e+04 3.0000000000e-04
1.1080000000e+04 3.0000000000e-04
1.1105000000e+04 2.0000000000e-04
1.1130000000e+04 2.0000000000e-04
1.1155000000e+04 1.0000000000e-04
1.1180000000e+04 1.0000000000e-04
1.1205000000e+04 0.0000000000e+00
1.1230000000e+04 0.0000000000e+00
