# photband: SPITZER_IRAC_45
# source: SVO Filter Profile Service
# svo_id: Spitzer/IRAC.I2
# detector_type: 0
# response_type: energy
# components: Filter + Instrument
# profile_reference: http://ssc.spitzer.caltech.edu/irac/spectral_response.html
# wavelength_unit: Angstrom
# columns: wavelength transmission
3.7224900000e+04 1.2010000000e-03
3.7251600000e+04 1.0990000000e-03
3.7278400000e+04 1.1170000000e-03
3.7305200000e+04 1.2130000000e-03
3.7332100000e+04 1.2110000000e-03
3.7359000000e+04 1.2530000000e-03
3.7385900000e+04 1.2310000000e-03
3.7412900000e+04 1.2090000000e-03
3.7439900000e+04 1.2370000000e-03
3.7466900000e+04 1.1970000000e-03
3.7494000000e+04 1.1280000000e-03
3.7521200000e+04 1.0910000000e-03
3.7548300000e+04 1.0370000000e-03
3.7575500000e+04 9.5600000000e-04
3.7602800000e+04 8.5800000000e-04
3.7630100000e+04 7.1700000000e-04
3.7657400000e+04 6.0200000000e-04
3.7684800000e+04 5.7800000000e-04
3.7712200000e+04 5.8700000000e-04
3.7739600000e+04 4.7400000000e-04
3.7767100000e+04 3.7700000000e-04
3.7794600000e+04 3.1700000000e-04
3.7822200000e+04 2.3300000000e-04
3.7849800000e+04 2.3000000000e-04
3.7877500000e+04 1.5700000000e-04
3.7905100000e+04 2.2800000000e-04
3.7932900000e+04 4.2400000000e-04
3.7960600000e+04 4.7400000000e-04
3.7988400000e+04 5.6300000000e-04
3.8016300000e+04 6.3300000000e-04
3.8044200000e+04 4.5100000000e-04
3.8072100000e+04 4.6400000000e-04
3.8100100000e+04 8.5000000000e-04
3.8128100000e+04 9.4200000000e-04
3.8156200000e+04 8.1200000000e-04
3.8184300000e+04 1.0390000000e-03
3.8212400000e+04 1.1360000000e-03
3.8240600000e+04 1.0400000000e-03
3.8268800000e+04 1.3220000000e-03
3.8297100000e+04 1.3610000000e-03
3.8325400000e+04 1.1940000000e-03
3.8353700000e+04 1.1840000000e-03
3.8382100000e+04 1.1080000000e-03
3.8410500000e+04 1.1270000000e-03
3.8439000000e+04 1.1910000000e-03
3.8467500000e+04 1.1420000000e-03
3.8496100000e+04 1.1380000000e-03
3.8524700000e+04 9.4600000000e-04
3.8553300000e+04 9.7200000000e-04
3.8582000000e+04 1.0210000000e-03
3.8610700000e+04 7.7300000000e-04
3.8639500000e+04 6.9300000000e-04
3.8668300000e+04 6.4700000000e-04
3.8697200000e+04 5.2300000000e-04
3.8726100000e+04 4.5100000000e-04
3.8755000000e+04 3.6600000000e-04
3.8784000000e+04 3.9800000000e-04
3.8813000000e+04 3.9100000000e-04
3.8842100000e+04 2.2300000000e-04
3.8871200000e+04 2.2600000000e-04
3.8900400000e+04 3.0700000000e-04
3.8929600000e+04 4.0100000000e-04
3.8958900000e+04 6.6400000000e-04
3.8988100000e+04 1.2060000000e-03
3.9017500000e+04 1.6240000000e-03
3.9046900000e+04 1.9200000000e-03
3.9076300000e+04 2.6970000000e-03
3.9105800000e+04 3.5590000000e-03
3.9135300000e+04 4.2360000000e-03
3.9164800000e+04 5.1630000000e-03
3.9194400000e+04 6.2730000000e-03
3.9224100000e+04 7.3270000000e-03
3.9253800000e+04 8.7860000000e-03
3.9283500000e+04 1.0680000000e-02
3.9313300000e+04 1.2370000000e-02
3.9343100000e+04 1.4320000000e-02
3.9373000000e+04 1.6680000000e-02
3.9402900000e+04 1.9370000000e-02
3.9432900000e+04 2.2320000000e-02
3.9462900000e+04 2.5810000000e-02
3.9492900000e+04 2.9940000000e-02
3.9523000000e+04 3.4790000000e-02
3.9553200000e+04 4.0240000000e-02
3.9583400000e+04 4.6900000000e-02
3.9613600000e+04 5.4810000000e-02
3.9643900000e+04 6.3810000000e-02
3.9674200000e+04 7.4360000000e-02
3.9704600000e+04 8.6690000000e-02
3.9735000000e+04 1.0100000000e-01
3.9765500000e+04 1.1750000000e-01
3.9796000000e+04 1.3580000000e-01
3.9826600000e+04 1.5730000000e-01
3.9857200000e+04 1.7930000000e-01
3.9887900000e+04 2.0230000000e-01
3.9918600000e+04 2.2810000000e-01
3.9949300000e+04 2.5220000000e-01
3.9980100000e+04 2.7750000000e-01
4.0011000000e+04 3.0040000000e-01
4.0041900000e+04 3.2070000000e-01
4.0072800000e+04 3.3900000000e-01
4.0103800000e+04 3.5500000000e-01
4.0134900000e+04 3.6690000000e-01
4.0165900000e+04 3.7550000000e-01
4.0197100000e+04 3.8050000000e-01
4.0228300000e+04 3.8370000000e-01
4.0259500000e+04 3.8540000000e-01
4.0290800000e+04 3.8460000000e-01
4.0322100000e+04 3.8240000000e-01
4.0353500000e+04 3.7980000000e-01
4.0384900000e+04 3.7810000000e-01
4.0416400000e+04 3.7430000000e-01
4.0447900000e+04 3.6950000000e-01
4.0479500000e+04 3.6570000000e-01
4.0511100000e+04 3.6070000000e-01
4.0542800000e+04 3.5680000000e-01
4.0574500000e+04 3.5310000000e-01
4.0606300000e+04 3.4880000000e-01
4.0638100000e+04 3.4430000000e-01
4.0670000000e+04 3.4020000000e-01
4.0701900000e+04 3.3670000000e-01
4.0733900000e+04 3.3370000000e-01
4.0765900000e+04 3.3080000000e-01
4.0798000000e+04 3.2830000000e-01
4.0830100000e+04 3.2680000000e-01
4.0862300000e+04 3.2620000000e-01
4.0894500000e+04 3.2540000000e-01
4.0926800000e+04 3.2490000000e-01
4.0959100000e+04 3.2510000000e-01
4.0991500000e+04 3.2600000000e-01
4.1023900000e+04 3.2830000000e-01
4.1056400000e+04 3.3030000000e-01
4.1088900000e+04 3.3240000000e-01
4.1121500000e+04 3.3510000000e-01
4.1154200000e+04 3.3860000000e-01
4.1186800000e+04 3.4480000000e-01
4.1219600000e+04 3.5070000000e-01
4.1252400000e+04 3.5520000000e-01
4.1285200000e+04 3.6170000000e-01
4.1318100000e+04 3.6890000000e-01
4.1351100000e+04 3.7640000000e-01
4.1384100000e+04 3.8380000000e-01
4.1417100000e+04 3.9160000000e-01
4.1450200000e+04 3.9950000000e-01
4.1483400000e+04 4.0850000000e-01
4.1516600000e+04 4.1810000000e-01
4.1549900000e+04 4.2690000000e-01
4.1583200000e+04 4.3490000000e-01
4.1616600000e+04 4.4110000000e-01
4.1650000000e+04 4.4730000000e-01
4.1683500000e+04 4.5450000000e-01
4.1717000000e+04 4.6050000000e-01
4.1750600000e+04 4.6600000000e-01
4.1784200000e+04 4.7090000000e-01
4.1817900000e+04 4.7550000000e-01
4.1851700000e+04 4.7980000000e-01
4.1885500000e+04 4.8410000000e-01
4.1919300000e+04 4.8850000000e-01
4.1953300000e+04 4.9080000000e-01
4.1987200000e+04 4.9220000000e-01
4.2021300000e+04 4.9480000000e-01
4.2055300000e+04 4.9670000000e-01
4.2089500000e+04 4.9720000000e-01
4.2123700000e+04 4.9740000000e-01
4.2157900000e+04 4.9700000000e-01
4.2192200000e+04 4.9720000000e-01
4.2226600000e+04 4.9630000000e-01
4.2261000000e+04 4.9420000000e-01
4.2295500000e+04 4.9230000000e-01
4.2330000000e+04 4.9040000000e-01
4.2364600000e+04 4.8830000000e-01
4.2399200000e+04 4.8730000000e-01
4.2433900000e+04 4.8470000000e-01
4.2468700000e+04 4.8050000000e-01
4.2503500000e+04 4.7730000000e-01
4.2538300000e+04 4.7490000000e-01
4.2573300000e+04 4.7280000000e-01
4.2608200000e+04 4.7040000000e-01
4.2643300000e+04 4.6800000000e-01
4.2678400000e+04 4.6740000000e-01
4.2713500000e+04 4.6640000000e-01
