# photband: SkyMapper_g
# source: SVO Filter Profile Service
# svo_id: SkyMapper/SkyMapper.g
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2011PASP..123..789B
# wavelength_unit: Angstrom
# columns: wavelength transmission
4.0000000000e+03 0.0000000000e+00
4.0500000000e+03 3.0000000000e-03
4.1000000000e+03 6.0000000000e-03
4.1500000000e+03 7.8000000000e-02
4.2000000000e+03 3.0100000000e-01
4.2500000000e+03 5.0600000000e-01
4.3000000000e+03 6.1200000000e-01
4.3500000000e+03 6.7600000000e-01
4.4000000000e+03 7.1600000000e-01
4.4500000000e+03 7.5300000000e-01
4.5000000000e+03 7.8400000000e-01
4.5500000000e+03 8.1300000000e-01
4.6000000000e+03 8.3900000000e-01
4.6500000000e+03 8.5600000000e-01
4.7000000000e+03 8.7600000000e-01
4.7500000000e+03 8.9600000000e-01
4.8000000000e+03 9.1800000000e-01
4.8500000000e+03 9.3900000000e-01
4.9000000000e+03 9.5300000000e-01
4.9500000000e+03 9.7100000000e-01
5.0000000000e+03 9.8100000000e-01
5.0500000000e+03 9.9000000000e-01
5.1000000000e+03 9.9500000000e-01
5.1500000000e+03 1.0000000000e+00
5.2000000000e+03 9.9700000000e-01
5.2500000000e+03 9.8800000000e-01
5.3000000000e+03 9.8000000000e-01
5.3500000000e+03 9.6000000000e-01
5.4000000000e+03 9.3700000000e-01
5.4500000000e+03 9.0800000000e-01
5.5000000000e+03 8.7400000000e-01
5.5500000000e+03 8.2800000000e-01
5.6000000000e+03 7.7500000000e-01
5.6500000000e+03 7.1900000000e-01
5.7000000000e+03 6.5800000000e-01
5.7500000000e+03 5.9400000000e-01
5.8000000000e+03 5.2400000000e-01
5.8500000000e+03 4.6000000000e-01
5.9000000000e+03 3.9100000000e-01
5.9500000000e+03 3.2900000000e-01
6.0000000000e+03 2.7100000000e-01
6.0500000000e+03 2.1900000000e-01
6.1000000000e+03 1.7300000000e-01
6.1500000000e+03 1.3500000000e-01
6.2000000000e+03 1.0300000000e-01
6.2500000000e+03 7.7000000000e-02
6.3000000000e+03 5.7000000000e-02
6.3500000000e+03 4.2000000000e-02
6.4000000000e+03 3.1000000000e-02
6.4500000000e+03 2.0000000000e-02
6.5000000000e+03 1.4000000000e-02
6.5500000000e+03 1.2000000000e-02
6.6000000000e+03 7.0000000000e-03
6.6500000000e+03 5.0000000000e-03
6.7000000000e+03 0.0000000000e+00
