# photband: SkyMapper_i
# source: SVO Filter Profile Service
# svo_id: SkyMapper/SkyMapper.i
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2011PASP..123..789B
# wavelength_unit: Angstrom
# columns: wavelength transmission
6.8000000000e+03 0.0000000000e+00
6.8500000000e+03 1.0000000000e-03
6.9000000000e+03 3.0000000000e-03
6.9500000000e+03 1.5000000000e-02
7.0000000000e+03 8.7000000000e-02
7.0500000000e+03 2.6200000000e-01
7.1000000000e+03 4.8000000000e-01
7.1500000000e+03 6.3300000000e-01
7.2000000000e+03 7.0700000000e-01
7.2500000000e+03 7.7700000000e-01
7.3000000000e+03 8.5100000000e-01
7.3500000000e+03 9.3400000000e-01
7.4000000000e+03 9.8000000000e-01
7.4500000000e+03 9.9300000000e-01
7.5000000000e+03 1.0000000000e+00
7.5500000000e+03 9.3600000000e-01
7.6000000000e+03 7.0900000000e-01
7.6500000000e+03 7.1600000000e-01
7.7000000000e+03 9.1700000000e-01
7.7500000000e+03 9.5900000000e-01
7.8000000000e+03 9.4500000000e-01
7.8500000000e+03 9.3400000000e-01
7.9000000000e+03 9.2700000000e-01
7.9500000000e+03 9.2300000000e-01
8.0000000000e+03 9.3100000000e-01
8.0500000000e+03 9.2900000000e-01
8.1000000000e+03 9.0200000000e-01
8.1500000000e+03 8.2600000000e-01
8.2000000000e+03 7.8400000000e-01
8.2500000000e+03 7.3300000000e-01
8.3000000000e+03 6.4300000000e-01
8.3500000000e+03 5.6500000000e-01
8.4000000000e+03 5.7600000000e-01
8.4500000000e+03 7.3400000000e-01
8.5000000000e+03 5.5400000000e-01
8.5500000000e+03 1.2300000000e-01
8.6000000000e+03 2.8000000000e-02
8.6500000000e+03 9.0000000000e-03
8.7000000000e+03 4.0000000000e-03
8.7500000000e+03 2.0000000000e-03
8.8000000000e+03 0.0000000000e+00
