# photband: SkyMapper_r
# source: SVO Filter Profile Service
# svo_id: SkyMapper/SkyMapper.r
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2011PASP..123..789B
# wavelength_unit: Angstrom
# columns: wavelength transmission
4.8000000000e+03 0.0000000000e+00
4.8500000000e+03 2.0000000000e-03
4.9000000000e+03 8.0000000000e-03
4.9500000000e+03 1.2000000000e-02
5.0000000000e+03 2.1000000000e-02
5.0500000000e+03 3.4000000000e-02
5.1000000000e+03 5.1000000000e-02
5.1500000000e+03 7.0000000000e-02
5.2000000000e+03 9.7000000000e-02
5.2500000000e+03 1.4100000000e-01
5.3000000000e+03 2.1800000000e-01
5.3500000000e+03 3.5400000000e-01
5.4000000000e+03 5.7200000000e-01
5.4500000000e+03 7.7200000000e-01
5.5000000000e+03 9.5100000000e-01
5.5500000000e+03 9.3200000000e-01
5.6000000000e+03 9.5300000000e-01
5.6500000000e+03 9.6200000000e-01
5.7000000000e+03 9.2600000000e-01
5.7500000000e+03 9.4300000000e-01
5.8000000000e+03 9.4700000000e-01
5.8500000000e+03 9.3700000000e-01
5.9000000000e+03 9.4600000000e-01
5.9500000000e+03 9.4700000000e-01
6.0000000000e+03 9.2700000000e-01
6.0500000000e+03 9.1900000000e-01
6.1000000000e+03 8.9800000000e-01
6.1500000000e+03 8.9500000000e-01
6.2000000000e+03 9.2600000000e-01
6.2500000000e+03 9.4500000000e-01
6.3000000000e+03 9.6600000000e-01
6.3500000000e+03 9.7400000000e-01
6.4000000000e+03 9.4700000000e-01
6.4500000000e+03 9.7000000000e-01
6.5000000000e+03 1.0000000000e+00
6.5500000000e+03 9.2800000000e-01
6.6000000000e+03 9.0700000000e-01
6.6500000000e+03 9.8600000000e-01
6.7000000000e+03 9.9000000000e-01
6.7500000000e+03 9.2300000000e-01
6.8000000000e+03 8.5800000000e-01
6.8500000000e+03 7.8200000000e-01
6.9000000000e+03 8.4900000000e-01
6.9500000000e+03 6.3100000000e-01
7.0000000000e+03 2.1000000000e-01
7.0500000000e+03 9.3000000000e-02
7.1000000000e+03 7.1000000000e-02
7.1500000000e+03 5.2000000000e-02
7.2000000000e+03 1.7000000000e-02
7.2500000000e+03 6.0000000000e-03
7.3000000000e+03 0.0000000000e+00
