# photband: SkyMapper_u
# source: SVO Filter Profile Service
# svo_id: SkyMapper/SkyMapper.u
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2011PASP..123..789B
# wavelength_unit: Angstrom
# columns: wavelength transmission
3.0000000000e+03 0.0000000000e+00
3.0500000000e+03 3.0000000000e-03
3.1000000000e+03 2.3000000000e-02
3.1500000000e+03 8.6000000000e-02
3.2000000000e+03 2.0400000000e-01
3.2500000000e+03 3.6600000000e-01
3.3000000000e+03 5.3700000000e-01
3.3500000000e+03 6.9500000000e-01
3.4000000000e+03 8.2600000000e-01
3.4500000000e+03 9.2300000000e-01
3.5000000000e+03 9.8500000000e-01
3.5500000000e+03 9.9200000000e-01
3.6000000000e+03 9.3700000000e-01
3.6500000000e+03 8.0500000000e-01
3.7000000000e+03 5.9500000000e-01
3.7500000000e+03 3.3200000000e-01
3.8000000000e+03 1.1300000000e-01
3.8500000000e+03 1.5000000000e-02
3.9000000000e+03 0.0000000000e+00
