# photband: SkyMapper_v
# source: SVO Filter Profile Service
# svo_id: SkyMapper/SkyMapper.v
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2011PASP..123..789B
# wavelength_unit: Angstrom
# columns: wavelength transmission
3.5000000000e+03 0.0000000000e+00
3.5500000000e+03 9.0000000000e-03
3.6000000000e+03 1.2100000000e-01
3.6500000000e+03 3.7000000000e-01
3.7000000000e+03 6.4800000000e-01
3.7500000000e+03 8.7900000000e-01
3.8000000000e+03 1.0000000000e+00
3.8500000000e+03 9.9600000000e-01
3.9000000000e+03 8.7300000000e-01
3.9500000000e+03 6.6400000000e-01
4.0000000000e+03 4.2100000000e-01
4.0500000000e+03 2.3400000000e-01
4.1000000000e+03 1.0700000000e-01
4.1500000000e+03 3.9000000000e-02
4.2000000000e+03 1.5000000000e-02
4.2500000000e+03 0.0000000000e+00
