# photband: SkyMapper_z
# source: SVO Filter Profile Service
# svo_id: SkyMapper/SkyMapper.z
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2011PASP..123..789B
# wavelength_unit: Angstrom
# columns: wavelength transmission
8.1000000000e+03 0.0000000000e+00
8.1500000000e+03 8.0000000000e-03
8.2000000000e+03 1.9000000000e-02
8.2500000000e+03 4.6000000000e-02
8.3000000000e+03 1.0200000000e-01
8.3500000000e+03 2.0300000000e-01
8.4000000000e+03 3.4700000000e-01
8.4500000000e+03 5.0200000000e-01
8.5000000000e+03 6.5300000000e-01
8.5500000000e+03 7.8200000000e-01
8.6000000000e+03 8.7600000000e-01
8.6500000000e+03 9.3500000000e-01
8.7000000000e+03 9.7900000000e-01
8.7500000000e+03 9.9500000000e-01
8.8000000000e+03 1.0000000000e+00
8.8500000000e+03 9.8200000000e-01
8.9000000000e+03 9.4600000000e-01
8.9500000000e+03 8.4500000000e-01
9.0000000000e+03 7.7300000000e-01
9.0500000000e+03 7.6400000000e-01
9.1000000000e+03 7.1900000000e-01
9.1500000000e+03 6.9900000000e-01
9.2000000000e+03 7.0800000000e-01
9.2500000000e+03 6.6100000000e-01
9.3000000000e+03 4.9300000000e-01
9.3500000000e+03 3.4800000000e-01
9.4000000000e+03 3.6100000000e-01
9.4500000000e+03 3.5000000000e-01
9.5000000000e+03 3.4100000000e-01
9.5500000000e+03 3.5000000000e-01
9.6000000000e+03 3.6800000000e-01
9.6500000000e+03 4.0700000000e-01
9.7000000000e+03 4.3200000000e-01
9.7500000000e+03 4.2400000000e-01
9.8000000000e+03 4.0200000000e-01
9.8500000000e+03 3.7800000000e-01
9.9000000000e+03 3.5500000000e-01
9.9500000000e+03 3.3400000000e-01
1.0000000000e+04 3.1200000000e-01
1.0050000000e+04 2.9100000000e-01
1.0100000000e+04 2.7000000000e-01
1.0150000000e+04 2.5000000000e-01
1.0200000000e+04 2.2500000000e-01
1.0250000000e+04 2.0300000000e-01
1.0300000000e+04 1.8100000000e-01
1.0350000000e+04 1.5900000000e-01
1.0400000000e+04 1.3400000000e-01
1.0450000000e+04 1.1200000000e-01
1.0500000000e+04 9.1000000000e-02
1.0600000000e+04 4.8000000000e-02
1.0700000000e+04 0.0000000000e+00
