# photband: WFCAM_H
# source: SVO Filter Profile Service
# svo_id: UKIRT/WFCAM.H
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2006MNRAS.367..454H
# wavelength_unit: Angstrom
# columns: wavelength transmission
1.4490000000e+04 4.1000000000e-03
1.4495000000e+04 4.2000000000e-03
1.4500000000e+04 3.5000000000e-03
1.4505000000e+04 2.2000000000e-03
1.4510000000e+04 2.8000000000e-03
1.4515000000e+04 4.9000000000e-03
1.4520000000e+04 4.5000000000e-03
1.4525000000e+04 5.3000000000e-03
1.4530000000e+04 4.3000000000e-03
1.4535000000e+04 6.0000000000e-03
1.4540000000e+04 6.3000000000e-03
1.4545000000e+04 6.1000000000e-03
1.4550000000e+04 6.2000000000e-03
1.4555000000e+04 5.0000000000e-03
1.4560000000e+04 7.2000000000e-03
1.4565000000e+04 7.7000000000e-03
1.4570000000e+04 7.5000000000e-03
1.4575000000e+04 7.7000000000e-03
1.4580000000e+04 8.4000000000e-03
1.4585000000e+04 9.1000000000e-03
1.4590000000e+04 9.6000000000e-03
1.4595000000e+04 1.0000000000e-02
1.4600000000e+04 9.9000000000e-03
1.4605000000e+04 8.2000000000e-03
1.4610000000e+04 1.0900000000e-02
1.4615000000e+04 1.0600000000e-02
1.4620000000e+04 1.2300000000e-02
1.4625000000e+04 1.2700000000e-02
1.4630000000e+04 1.0300000000e-02
1.4635000000e+04 1.2200000000e-02
1.4640000000e+04 1.4100000000e-02
1.4645000000e+04 1.5700000000e-02
1.4650000000e+04 1.3200000000e-02
1.4655000000e+04 1.3800000000e-02
1.4660000000e+04 1.3700000000e-02
1.4665000000e+04 1.3700000000e-02
1.4670000000e+04 1.3200000000e-02
1.4675000000e+04 1.8800000000e-02
1.4680000000e+04 1.8100000000e-02
1.4685000000e+04 2.1400000000e-02
1.4690000000e+04 2.2100000000e-02
1.4695000000e+04 1.6000000000e-02
