# photband: WFCAM_J
# source: SVO Filter Profile Service
# svo_id: UKIRT/WFCAM.J
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2006MNRAS.367..454H
# wavelength_unit: Angstrom
# columns: wavelength transmission
1.1480000000e+04 4.4000000000e-03
1.1485000000e+04 4.6000000000e-03
1.1490000000e+04 4.4000000000e-03
1.1495000000e+04 4.9000000000e-03
1.1500000000e+04 4.6000000000e-03
1.1505000000e+04 6.2000000000e-03
1.1510000000e+04 6.2000000000e-03
1.1515000000e+04 6.9000000000e-03
1.1520000000e+04 6.4000000000e-03
1.1525000000e+04 7.0000000000e-03
1.1530000000e+04 8.7000000000e-03
1.1535000000e+04 9.5000000000e-03
1.1540000000e+04 9.1000000000e-03
1.1545000000e+04 1.0400000000e-02
1.1550000000e+04 1.1700000000e-02
1.1555000000e+04 1.2800000000e-02
1.1560000000e+04 1.3800000000e-02
1.1565000000e+04 1.4900000000e-02
1.1570000000e+04 1.7200000000e-02
1.1575000000e+04 1.8200000000e-02
1.1580000000e+04 1.8700000000e-02
1.1585000000e+04 2.1600000000e-02
1.1590000000e+04 2.1100000000e-02
1.1595000000e+04 2.5500000000e-02
1.1600000000e+04 2.7700000000e-02
1.1605000000e+04 2.8300000000e-02
1.1610000000e+04 3.3200000000e-02
1.1615000000e+04 3.5200000000e-02
1.1620000000e+04 3.9200000000e-02
1.1625000000e+04 4.1000000000e-02
1.1630000000e+04 4.6600000000e-02
1.1635000000e+04 4.9600000000e-02
1.1640000000e+04 5.3500000000e-02
1.1645000000e+04 5.8600000000e-02
1.1650000000e+04 6.1700000000e-02
1.1655000000e+04 6.7000000000e-02
1.1660000000e+04 7.0800000000e-02
1.1665000000e+04 7.7500000000e-02
1.1670000000e+04 8.2400000000e-02
1.1675000000e+04 8.9300000000e-02
1.1680000000e+04 9.4700000000e-02
1.1685000000e+04 9.8900000000e-02
1.1690000000e+04 1.0630000000e-01
1.1695000000e+04 1.1030000000e-01
1.1700000000e+04 1.1750000000e-01
1.1705000000e+04 1.2120000000e-01
1.1710000000e+04 1.2610000000e-01
1.1715000000e+04 1.3320000000e-01
1.1720000000e+04 1.3680000000e-01
1.1725000000e+04 1.3990000000e-01
1.1730000000e+04 1.4450000000e-01
1.1735000000e+04 1.4850000000e-01
1.1740000000e+04 1.4450000000e-01
1.1745000000e+04 1.5520000000e-01
1.1750000000e+04 1.5910000000e-01
1.1755000000e+04 1.5720000000e-01
1.1760000000e+04 1.6400000000e-01
1.1765000000e+04 1.6560000000e-01
1.1770000000e+04 1.6730000000e-01
1.1775000000e+04 1.6130000000e-01
1.1780000000e+04 1.6720000000e-01
1.1785000000e+04 1.6710000000e-01
1.1790000000e+04 1.7180000000e-01
1.1795000000e+04 1.6600000000e-01
1.1800000000e+04 1.7160000000e-01
1.1805000000e+04 1.7340000000e-01
1.1810000000e+04 1.7290000000e-01
1.1815000000e+04 1.7130000000e-01
1.1820000000e+04 1.6070000000e-01
1.1825000000e+04 1.7290000000e-01
1.1830000000e+04 1.7480000000e-01
1.1835000000e+04 1.7510000000e-01
1.1840000000e+04 1.7470000000e-01
1.1845000000e+04 1.7080000000e-01
1.1850000000e+04 1.6880000000e-01
1.1855000000e+04 1.7620000000e-01
1.1860000000e+04 1.7580000000e-01
1.1865000000e+04 1.7510000000e-01
1.1870000000e+04 1.7550000000e-01
1.1875000000e+04 1.7190000000e-01
