# photband: WFCAM_K
# source: SVO Filter Profile Service
# svo_id: UKIRT/WFCAM.K
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2006MNRAS.367..454H
# wavelength_unit: Angstrom
# columns: wavelength transmission
1.9605000000e+04 4.4000000000e-03
1.9610000000e+04 3.3000000000e-03
1.9615000000e+04 4.1000000000e-03
1.9620000000e+04 3.9000000000e-03
1.9625000000e+04 4.7000000000e-03
1.9630000000e+04 4.2000000000e-03
1.9635000000e+04 3.4000000000e-03
1.9640000000e+04 3.2000000000e-03
1.9645000000e+04 3.8000000000e-03
1.9650000000e+04 5.3000000000e-03
1.9655000000e+04 4.6000000000e-03
1.9660000000e+04 3.5000000000e-03
1.9665000000e+04 4.7000000000e-03
1.9670000000e+04 6.1000000000e-03
1.9675000000e+04 5.2000000000e-03
1.9680000000e+04 4.0000000000e-03
1.9685000000e+04 6.1000000000e-03
1.9690000000e+04 6.5000000000e-03
1.9695000000e+04 5.3000000000e-03
1.9700000000e+04 6.0000000000e-03
1.9705000000e+04 7.3000000000e-03
1.9710000000e+04 5.9000000000e-03
1.9715000000e+04 5.3000000000e-03
1.9720000000e+04 7.2000000000e-03
1.9725000000e+04 7.1000000000e-03
1.9730000000e+04 7.0000000000e-03
1.9735000000e+04 8.3000000000e-03
1.9740000000e+04 7.3000000000e-03
1.9745000000e+04 7.7000000000e-03
1.9750000000e+04 9.0000000000e-03
1.9755000000e+04 8.6000000000e-03
1.9760000000e+04 8.4000000000e-03
1.9765000000e+04 9.6000000000e-03
1.9770000000e+04 9.4000000000e-03
1.9775000000e+04 9.6000000000e-03
1.9780000000e+04 1.0000000000e-02
1.9785000000e+04 1.0000000000e-02
1.9790000000e+04 1.0600000000e-02
1.9795000000e+04 1.0200000000e-02
1.9800000000e+04 8.3000000000e-03
1.9805000000e+04 9.2000000000e-03
1.9810000000e+04 1.1400000000e-02
1.9815000000e+04 1.1800000000e-02
1.9820000000e+04 1.2000000000e-02
1.9825000000e+04 1.2200000000e-02
1.9830000000e+04 1.1800000000e-02
1.9835000000e+04 1.2800000000e-02
1.9840000000e+04 1.3100000000e-02
1.9845000000e+04 1.3300000000e-02
1.9850000000e+04 1.3300000000e-02
1.9855000000e+04 1.3600000000e-02
1.9860000000e+04 1.4200000000e-02
1.9865000000e+04 1.4400000000e-02
1.9870000000e+04 1.1100000000e-02
1.9875000000e+04 1.4900000000e-02
1.9880000000e+04 1.5400000000e-02
1.9885000000e+04 1.5800000000e-02
1.9890000000e+04 1.6200000000e-02
1.9895000000e+04 1.6500000000e-02
1.9900000000e+04 1.5100000000e-02
1.9905000000e+04 1.6300000000e-02
1.9910000000e+04 1.7500000000e-02
1.9915000000e+04 1.8200000000e-02
1.9920000000e+04 1.8500000000e-02
1.9925000000e+04 1.8900000000e-02
1.9930000000e+04 1.9400000000e-02
1.9935000000e+04 1.9800000000e-02
1.9940000000e+04 1.9300000000e-02
1.9945000000e+04 2.0300000000e-02
1.9950000000e+04 2.1100000000e-02
1.9955000000e+04 2.0600000000e-02
1.9960000000e+04 2.1200000000e-02
1.9965000000e+04 2.0900000000e-02
1.9970000000e+04 2.0300000000e-02
1.9975000000e+04 2.0200000000e-02
1.9980000000e+04 1.8100000000e-02
1.9985000000e+04 1.8600000000e-02
1.9990000000e+04 1.7100000000e-02
1.9995000000e+04 1.7100000000e-02
2.0000000000e+04 1.8200000000e-02
2.0005000000e+04 1.6400000000e-02
2.0010000000e+04 1.3900000000e-02
2.0015000000e+04 1.1800000000e-02
2.0020000000e+04 1.1700000000e-02
2.0025000000e+04 1.0600000000e-02
2.0030000000e+04 8.5000000000e-03
2.0035000000e+04 1.0300000000e-02
2.0040000000e+04 1.0200000000e-02
2.0045000000e+04 9.5000000000e-03
2.0050000000e+04 1.1600000000e-02
2.0055000000e+04 1.2900000000e-02
2.0060000000e+04 1.7100000000e-02
2.0065000000e+04 2.0800000000e-02
2.0070000000e+04 2.2100000000e-02
2.0075000000e+04 1.9700000000e-02
2.0080000000e+04 1.7900000000e-02
2.0085000000e+04 2.5900000000e-02
2.0090000000e+04 3.6500000000e-02
2.0095000000e+04 2.4200000000e-02
2.0100000000e+04 2.6100000000e-02
2.0105000000e+04 3.2200000000e-02
2.0110000000e+04 2.3000000000e-02
2.0115000000e+04 1.7800000000e-02
2.0120000000e+04 2.7900000000e-02
2.0125000000e+04 3.3100000000e-02
2.0130000000e+04 2.2900000000e-02
2.0135000000e+04 1.9700000000e-02
2.0140000000e+04 3.7300000000e-02
2.0145000000e+04 3.2500000000e-02
2.0150000000e+04 1.9100000000e-02
2.0155000000e+04 4.2700000000e-02
2.0160000000e+04 3.8600000000e-02
2.0165000000e+04 2.4600000000e-02
2.0170000000e+04 4.7000000000e-02
2.0175000000e+04 4.0600000000e-02
2.0180000000e+04 3.2100000000e-02
2.0185000000e+04 5.8300000000e-02
2.0190000000e+04 4.0200000000e-02
2.0195000000e+04 5.6200000000e-02
2.0200000000e+04 6.3000000000e-02
2.0205000000e+04 4.6800000000e-02
2.0210000000e+04 7.4100000000e-02
2.0215000000e+04 5.9000000000e-02
2.0220000000e+04 6.8700000000e-02
2.0225000000e+04 8.4300000000e-02
2.0230000000e+04 6.6800000000e-02
2.0235000000e+04 8.9000000000e-02
2.0240000000e+04 7.3900000000e-02
2.0245000000e+04 9.2200000000e-02
2.0250000000e+04 9.1800000000e-02
2.0255000000e+04 9.6300000000e-02
2.0260000000e+04 1.0220000000e-01
2.0265000000e+04 9.8900000000e-02
2.0270000000e+04 1.0980000000e-01
2.0275000000e+04 1.0400000000e-01
2.0280000000e+04 1.1390000000e-01
2.0285000000e+04 1.0910000000e-01
2.0290000000e+04 1.2150000000e-01
2.0295000000e+04 1.1870000000e-01
2.0300000000e+04 1.2770000000e-01
2.0305000000e+04 1.2550000000e-01
2.0310000000e+04 1.3100000000e-01
2.0315000000e+04 1.3300000000e-01
2.0320000000e+04 1.3600000000e-01
2.0325000000e+04 1.3760000000e-01
2.0330000000e+04 1.3930000000e-01
2.0335000000e+04 1.4110000000e-01
2.0340000000e+04 1.4470000000e-01
2.0345000000e+04 1.4680000000e-01
2.0350000000e+04 1.4920000000e-01
2.0355000000e+04 1.5120000000e-01
2.0360000000e+04 1.5290000000e-01
2.0365000000e+04 1.5490000000e-01
2.0370000000e+04 1.5700000000e-01
2.0375000000e+04 1.5880000000e-01
2.0380000000e+04 1.6100000000e-01
2.0385000000e+04 1.6230000000e-01
2.0390000000e+04 1.6450000000e-01
2.0395000000e+04 1.6480000000e-01
2.0400000000e+04 1.6220000000e-01
