# photband: WFCAM_Y
# source: SVO Filter Profile Service
# svo_id: UKIRT/WFCAM.Y
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2006MNRAS.367..454H
# wavelength_unit: Angstrom
# columns: wavelength transmission
9.6350000000e+03 4.4000000000e-03
9.6400000000e+03 4.4000000000e-03
9.6450000000e+03 5.3000000000e-03
9.6500000000e+03 5.8000000000e-03
9.6550000000e+03 6.7000000000e-03
9.6600000000e+03 7.4000000000e-03
9.6650000000e+03 7.7000000000e-03
9.6700000000e+03 9.1000000000e-03
9.6750000000e+03 1.0300000000e-02
9.6800000000e+03 1.1600000000e-02
9.6850000000e+03 1.2700000000e-02
9.6900000000e+03 1.4500000000e-02
9.6950000000e+03 1.6200000000e-02
9.7000000000e+03 1.8100000000e-02
9.7050000000e+03 1.9900000000e-02
9.7100000000e+03 2.2800000000e-02
9.7150000000e+03 2.5600000000e-02
9.7200000000e+03 2.8300000000e-02
9.7250000000e+03 3.1400000000e-02
9.7300000000e+03 3.5400000000e-02
9.7350000000e+03 3.9200000000e-02
9.7400000000e+03 4.2200000000e-02
9.7450000000e+03 4.7000000000e-02
9.7500000000e+03 5.2500000000e-02
9.7550000000e+03 5.7800000000e-02
9.7600000000e+03 6.1600000000e-02
9.7650000000e+03 6.7900000000e-02
9.7700000000e+03 7.5200000000e-02
9.7750000000e+03 8.1200000000e-02
9.7800000000e+03 8.6700000000e-02
9.7850000000e+03 9.0300000000e-02
9.7900000000e+03 9.8300000000e-02
9.7950000000e+03 1.0110000000e-01
9.8000000000e+03 1.0880000000e-01
9.8050000000e+03 1.1110000000e-01
9.8100000000e+03 1.1810000000e-01
9.8150000000e+03 1.2160000000e-01
9.8200000000e+03 1.2500000000e-01
9.8250000000e+03 1.2780000000e-01
9.8300000000e+03 1.3060000000e-01
9.8350000000e+03 1.3320000000e-01
9.8400000000e+03 1.3600000000e-01
9.8450000000e+03 1.3730000000e-01
9.8500000000e+03 1.3890000000e-01
9.8550000000e+03 1.4090000000e-01
9.8600000000e+03 1.4220000000e-01
9.8650000000e+03 1.4340000000e-01
9.8700000000e+03 1.4420000000e-01
9.8750000000e+03 1.4510000000e-01
9.8800000000e+03 1.4630000000e-01
9.8850000000e+03 1.4740000000e-01
9.8900000000e+03 1.4830000000e-01
9.8950000000e+03 1.4910000000e-01
9.9000000000e+03 1.5000000000e-01
9.9050000000e+03 1.5120000000e-01
9.9100000000e+03 1.5220000000e-01
9.9150000000e+03 1.5320000000e-01
9.9200000000e+03 1.5430000000e-01
9.9250000000e+03 1.5540000000e-01
9.9300000000e+03 1.5620000000e-01
9.9350000000e+03 1.5760000000e-01
9.9400000000e+03 1.5880000000e-01
9.9450000000e+03 1.5990000000e-01
9.9500000000e+03 1.6110000000e-01
9.9550000000e+03 1.6220000000e-01
9.9600000000e+03 1.6340000000e-01
9.9650000000e+03 1.6460000000e-01
9.9700000000e+03 1.6560000000e-01
9.9750000000e+03 1.6680000000e-01
9.9800000000e+03 1.6770000000e-01
9.9850000000e+03 1.6880000000e-01
9.9900000000e+03 1.6970000000e-01
9.9950000000e+03 1.7050000000e-01
1.0000000000e+04 1.7140000000e-01
1.0005000000e+04 1.7230000000e-01
1.0010000000e+04 1.7300000000e-01
1.0015000000e+04 1.7360000000e-01
1.0020000000e+04 1.7390000000e-01
1.0025000000e+04 1.7470000000e-01
1.0030000000e+04 1.7530000000e-01
1.0035000000e+04 1.7570000000e-01
1.0040000000e+04 1.7590000000e-01
1.0045000000e+04 1.7630000000e-01
1.0050000000e+04 1.7660000000e-01
1.0055000000e+04 1.7680000000e-01
1.0060000000e+04 1.7700000000e-01
1.0065000000e+04 1.7710000000e-01
1.0070000000e+04 1.7720000000e-01
1.0075000000e+04 1.7730000000e-01
1.0080000000e+04 1.7720000000e-01
1.0085000000e+04 1.7730000000e-01
1.0090000000e+04 1.7720000000e-01
1.0095000000e+04 1.7700000000e-01
1.0100000000e+04 1.7720000000e-01
1.0105000000e+04 1.7720000000e-01
1.0110000000e+04 1.7710000000e-01
1.0115000000e+04 1.7710000000e-01
1.0120000000e+04 1.7690000000e-01
1.0125000000e+04 1.7690000000e-01
1.0130000000e+04 1.7690000000e-01
1.0135000000e+04 1.7680000000e-01
1.0140000000e+04 1.7680000000e-01
1.0145000000e+04 1.7670000000e-01
1.0150000000e+04 1.7670000000e-01
1.0155000000e+04 1.7660000000e-01
1.0160000000e+04 1.7670000000e-01
1.0165000000e+04 1.7670000000e-01
1.0170000000e+04 1.7670000000e-01
1.0175000000e+04 1.7670000000e-01
1.0180000000e+04 1.7680000000e-01
1.0185000000e+04 1.7690000000e-01
1.0190000000e+04 1.7690000000e-01
1.0195000000e+04 1.7680000000e-01
1.0200000000e+04 1.7710000000e-01
1.0205000000e+04 1.7710000000e-01
1.0210000000e+04 1.7730000000e-01
1.0215000000e+04 1.7740000000e-01
1.0220000000e+04 1.7750000000e-01
1.0225000000e+04 1.7760000000e-01
1.0230000000e+04 1.7770000000e-01
1.0235000000e+04 1.7780000000e-01
1.0240000000e+04 1.7780000000e-01
1.0245000000e+04 1.7810000000e-01
1.0250000000e+04 1.7830000000e-01
1.0255000000e+04 1.7840000000e-01
1.0260000000e+04 1.7850000000e-01
1.0265000000e+04 1.7870000000e-01
1.0270000000e+04 1.7880000000e-01
1.0275000000e+04 1.7880000000e-01
1.0280000000e+04 1.7910000000e-01
1.0285000000e+04 1.7920000000e-01
1.0290000000e+04 1.7930000000e-01
1.0295000000e+04 1.7940000000e-01
1.0300000000e+04 1.7950000000e-01
1.0305000000e+04 1.7970000000e-01
1.0310000000e+04 1.7980000000e-01
1.0315000000e+04 1.7990000000e-01
1.0320000000e+04 1.8010000000e-01
1.0325000000e+04 1.8020000000e-01
1.0330000000e+04 1.8030000000e-01
1.0335000000e+04 1.8040000000e-01
1.0340000000e+04 1.8050000000e-01
1.0345000000e+04 1.8070000000e-01
1.0350000000e+04 1.8080000000e-01
1.0355000000e+04 1.8090000000e-01
1.0360000000e+04 1.8110000000e-01
1.0365000000e+04 1.8120000000e-01
1.0370000000e+04 1.8130000000e-01
1.0375000000e+04 1.8150000000e-01
1.0380000000e+04 1.8160000000e-01
1.0385000000e+04 1.8180000000e-01
1.0390000000e+04 1.8190000000e-01
1.0395000000e+04 1.8210000000e-01
1.0400000000e+04 1.8220000000e-01
1.0405000000e+04 1.8240000000e-01
1.0410000000e+04 1.8260000000e-01
1.0415000000e+04 1.8270000000e-01
1.0420000000e+04 1.8290000000e-01
1.0425000000e+04 1.8310000000e-01
1.0430000000e+04 1.8320000000e-01
1.0435000000e+04 1.8340000000e-01
1.0440000000e+04 1.8350000000e-01
1.0445000000e+04 1.8370000000e-01
1.0450000000e+04 1.8380000000e-01
1.0455000000e+04 1.8400000000e-01
1.0460000000e+04 1.8410000000e-01
1.0465000000e+04 1.8420000000e-01
1.0470000000e+04 1.8440000000e-01
1.0475000000e+04 1.8450000000e-01
1.0480000000e+04 1.8460000000e-01
1.0485000000e+04 1.8460000000e-01
1.0490000000e+04 1.8470000000e-01
1.0495000000e+04 1.8470000000e-01
1.0500000000e+04 1.8470000000e-01
1.0505000000e+04 1.8480000000e-01
1.0510000000e+04 1.8490000000e-01
1.0515000000e+04 1.8480000000e-01
1.0520000000e+04 1.8480000000e-01
1.0525000000e+04 1.8480000000e-01
1.0530000000e+04 1.8480000000e-01
1.0535000000e+04 1.8470000000e-01
1.0540000000e+04 1.8470000000e-01
1.0545000000e+04 1.8460000000e-01
1.0550000000e+04 1.8450000000e-01
1.0555000000e+04 1.8450000000e-01
1.0560000000e+04 1.8440000000e-01
1.0565000000e+04 1.8430000000e-01
1.0570000000e+04 1.8420000000e-01
1.0575000000e+04 1.8410000000e-01
1.0580000000e+04 1.8410000000e-01
1.0585000000e+04 1.8400000000e-01
1.0590000000e+04 1.8390000000e-01
1.0595000000e+04 1.8390000000e-01
1.0600000000e+04 1.8390000000e-01
1.0605000000e+04 1.8390000000e-01
1.0610000000e+04 1.8390000000e-01
1.0615000000e+04 1.8400000000e-01
1.0620000000e+04 1.8400000000e-01
1.0625000000e+04 1.8410000000e-01
1.0630000000e+04 1.8420000000e-01
1.0635000000e+04 1.8430000000e-01
1.0640000000e+04 1.8440000000e-01
1.0645000000e+04 1.8460000000e-01
1.0650000000e+04 1.8480000000e-01
1.0655000000e+04 1.8500000000e-01
1.0660000000e+04 1.8520000000e-01
1.0665000000e+04 1.8540000000e-01
1.0670000000e+04 1.8560000000e-01
1.0675000000e+04 1.8570000000e-01
1.0680000000e+04 1.8560000000e-01
1.0685000000e+04 1.8590000000e-01
1.0690000000e+04 1.8600000000e-01
1.0695000000e+04 1.8580000000e-01
1.0700000000e+04 1.8560000000e-01
1.0705000000e+04 1.8540000000e-01
1.0710000000e+04 1.8480000000e-01
1.0715000000e+04 1.8410000000e-01
1.0720000000e+04 1.8300000000e-01
1.0725000000e+04 1.8190000000e-01
1.0730000000e+04 1.8030000000e-01
1.0735000000e+04 1.7870000000e-01
1.0740000000e+04 1.7620000000e-01
1.0745000000e+04 1.7340000000e-01
1.0750000000e+04 1.7040000000e-01
1.0755000000e+04 1.6740000000e-01
1.0760000000e+04 1.6340000000e-01
1.0765000000e+04 1.5920000000e-01
1.0770000000e+04 1.5440000000e-01
1.0775000000e+04 1.4860000000e-01
1.0780000000e+04 1.4410000000e-01
1.0785000000e+04 1.3860000000e-01
1.0790000000e+04 1.3260000000e-01
1.0795000000e+04 1.2630000000e-01
1.0800000000e+04 1.1970000000e-01
1.0805000000e+04 1.1330000000e-01
1.0810000000e+04 1.0690000000e-01
1.0815000000e+04 1.0020000000e-01
1.0820000000e+04 9.4300000000e-02
1.0825000000e+04 8.8400000000e-02
1.0830000000e+04 8.2600000000e-02
1.0835000000e+04 7.6000000000e-02
1.0840000000e+04 7.1200000000e-02
1.0845000000e+04 6.5800000000e-02
1.0850000000e+04 6.1200000000e-02
1.0855000000e+04 5.6500000000e-02
1.0860000000e+04 5.1800000000e-02
1.0865000000e+04 4.7700000000e-02
1.0870000000e+04 4.4100000000e-02
1.0875000000e+04 4.0600000000e-02
1.0880000000e+04 3.7400000000e-02
1.0885000000e+04 3.4400000000e-02
1.0890000000e+04 3.1600000000e-02
1.0895000000e+04 2.9000000000e-02
1.0900000000e+04 2.6800000000e-02
1.0905000000e+04 2.4400000000e-02
1.0910000000e+04 2.2700000000e-02
1.0915000000e+04 2.1000000000e-02
1.0920000000e+04 1.9300000000e-02
1.0925000000e+04 1.7500000000e-02
1.0930000000e+04 1.6300000000e-02
