# photband: WFCAM_Z
# source: SVO Filter Profile Service
# svo_id: UKIRT/WFCAM.Z
# detector_type: 1
# response_type: photon
# components: Filter + Instrument + Atmosphere
# profile_reference: http://adsabs.harvard.edu/abs/2006MNRAS.367..454H
# wavelength_unit: Angstrom
# columns: wavelength transmission
8.1850000000e+03 4.3000000000e-03
8.1900000000e+03 4.6000000000e-03
8.1950000000e+03 5.1000000000e-03
8.2000000000e+03 5.5000000000e-03
8.2050000000e+03 6.2000000000e-03
8.2100000000e+03 6.7000000000e-03
8.2150000000e+03 7.4000000000e-03
8.2200000000e+03 8.1000000000e-03
8.2250000000e+03 9.0000000000e-03
8.2300000000e+03 9.3000000000e-03
8.2350000000e+03 1.0800000000e-02
8.2400000000e+03 1.2200000000e-02
8.2450000000e+03 1.3700000000e-02
8.2500000000e+03 1.5400000000e-02
8.2550000000e+03 1.7200000000e-02
8.2600000000e+03 1.8900000000e-02
8.2650000000e+03 2.1300000000e-02
8.2700000000e+03 2.3700000000e-02
8.2750000000e+03 2.5700000000e-02
8.2800000000e+03 2.8400000000e-02
8.2850000000e+03 3.1100000000e-02
8.2900000000e+03 3.3800000000e-02
8.2950000000e+03 3.7500000000e-02
8.3000000000e+03 4.1000000000e-02
8.3050000000e+03 4.4300000000e-02
8.3100000000e+03 4.8100000000e-02
8.3150000000e+03 5.2100000000e-02
8.3200000000e+03 5.5800000000e-02
8.3250000000e+03 5.9900000000e-02
8.3300000000e+03 6.4700000000e-02
8.3350000000e+03 6.9200000000e-02
8.3400000000e+03 7.3600000000e-02
8.3450000000e+03 7.8700000000e-02
8.3500000000e+03 8.3400000000e-02
8.3550000000e+03 8.8200000000e-02
8.3600000000e+03 9.3000000000e-02
8.3650000000e+03 9.7900000000e-02
8.3700000000e+03 1.0280000000e-01
8.3750000000e+03 1.0740000000e-01
8.3800000000e+03 1.1180000000e-01
8.3850000000e+03 1.1630000000e-01
8.3900000000e+03 1.2050000000e-01
8.3950000000e+03 1.2430000000e-01
