# photband: WISE_RSR_W3
# source: SVO Filter Profile Service
# svo_id: WISE/WISE.W3
# detector_type: 0
# response_type: energy
# components: Filter + Instrument
# profile_reference: http://wise2.ipac.caltech.edu/docs/release/prelim/expsup/sec4_3g.html#WISEZMA
# wavelength_unit: Angstrom
# columns: wavelength transmission
7.2000000000e+04 2.8062000000e-05
7.2100000000e+04 1.7202000000e-03
7.2200000000e+04 1.6953000000e-03
7.2300000000e+04 2.1202000000e-03
7.2400000000e+04 2.2305000000e-03
7.2500000000e+04 2.0557000000e-03
7.2600000000e+04 2.1601000000e-03
7.2700000000e+04 1.9177000000e-03
7.2800000000e+04 1.1553000000e-03
7.2900000000e+04 1.6445000000e-03
7.3000000000e+04 2.6889000000e-03
7.3100000000e+04 3.3714000000e-03
7.3200000000e+04 3.5918000000e-03
7.3300000000e+04 3.5219000000e-03
7.3400000000e+04 3.7744000000e-03
7.3500000000e+04 3.6840000000e-03
7.3600000000e+04 3.3351000000e-03
7.3700000000e+04 3.3336000000e-03
7.3800000000e+04 3.1728000000e-03
7.3900000000e+04 3.3791000000e-03
7.4000000000e+04 3.6603000000e-03
7.4100000000e+04 4.2789000000e-03
7.4200000000e+04 5.4307000000e-03
7.4300000000e+04 7.1141000000e-03
7.4400000000e+04 9.2516000000e-03
7.4500000000e+04 1.1710000000e-02
7.4600000000e+04 1.4421000000e-02
7.4700000000e+04 1.7429000000e-02
7.4800000000e+04 2.1233000000e-02
7.4900000000e+04 2.6207000000e-02
7.5000000000e+04 3.3257000000e-02
7.5100000000e+04 4.3132000000e-02
7.5200000000e+04 5.6946000000e-02
7.5300000000e+04 7.5682000000e-02
7.5400000000e+04 1.0010000000e-01
7.5500000000e+04 1.2979000000e-01
7.5600000000e+04 1.6432000000e-01
7.5700000000e+04 2.0006000000e-01
7.5800000000e+04 2.3102000000e-01
7.5900000000e+04 2.5482000000e-01
7.6000000000e+04 2.6893000000e-01
7.6100000000e+04 2.7304000000e-01
7.6200000000e+04 2.6850000000e-01
7.6300000000e+04 2.5881000000e-01
7.6400000000e+04 2.4657000000e-01
7.6500000000e+04 2.3555000000e-01
7.6600000000e+04 2.2577000000e-01
7.6700000000e+04 2.1849000000e-01
7.6800000000e+04 2.1245000000e-01
7.6900000000e+04 2.0893000000e-01
7.7000000000e+04 2.0793000000e-01
7.7100000000e+04 2.0820000000e-01
7.7200000000e+04 2.0847000000e-01
7.7300000000e+04 2.1001000000e-01
7.7400000000e+04 2.1156000000e-01
7.7500000000e+04 2.1183000000e-01
7.7600000000e+04 2.1338000000e-01
7.7700000000e+04 2.1494000000e-01
7.7800000000e+04 2.1778000000e-01
7.7900000000e+04 2.2190000000e-01
7.8000000000e+04 2.2604000000e-01
7.8100000000e+04 2.3019000000e-01
7.8200000000e+04 2.3435000000e-01
7.8300000000e+04 2.3852000000e-01
7.8400000000e+04 2.4269000000e-01
7.8500000000e+04 2.4559000000e-01
7.8600000000e+04 2.4849000000e-01
7.8700000000e+04 2.5010000000e-01
7.8800000000e+04 2.5172000000e-01
7.8900000000e+04 2.5333000000e-01
7.9000000000e+04 2.5626000000e-01
7.9100000000e+04 2.5788000000e-01
7.9200000000e+04 2.6082000000e-01
7.9300000000e+04 2.6637000000e-01
7.9400000000e+04 2.7063000000e-01
7.9500000000e+04 2.7621000000e-01
7.9600000000e+04 2.8311000000e-01
7.9700000000e+04 2.9134000000e-01
7.9800000000e+04 2.9959000000e-01
7.9900000000e+04 3.0654000000e-01
8.0000000000e+04 3.1219000000e-01
8.0100000000e+04 3.1654000000e-01
8.0200000000e+04 3.2090000000e-01
8.0300000000e+04 3.2394000000e-01
8.0400000000e+04 3.2699000000e-01
8.0500000000e+04 3.2872000000e-01
8.0600000000e+04 3.2913000000e-01
8.0700000000e+04 3.3087000000e-01
8.0800000000e+04 3.3128000000e-01
8.0900000000e+04 3.3435000000e-01
8.1000000000e+04 3.3610000000e-01
8.1100000000e+04 3.3651000000e-01
8.1200000000e+04 3.3693000000e-01
8.1300000000e+04 3.3601000000e-01
8.1400000000e+04 3.3374000000e-01
8.1500000000e+04 3.3146000000e-01
8.1600000000e+04 3.2784000000e-01
8.1700000000e+04 3.2421000000e-01
8.1800000000e+04 3.2191000000e-01
8.1900000000e+04 3.2095000000e-01
8.2000000000e+04 3.1865000000e-01
8.2100000000e+04 3.1768000000e-01
8.2200000000e+04 3.1536000000e-01
8.2300000000e+04 3.1439000000e-01
8.2400000000e+04 3.1342000000e-01
8.2500000000e+04 3.1108000000e-01
8.2600000000e+04 3.0738000000e-01
8.2700000000e+04 3.0230000000e-01
8.2800000000e+04 2.9721000000e-01
8.2900000000e+04 2.9211000000e-01
8.3000000000e+04 2.9110000000e-01
8.3100000000e+04 2.9145000000e-01
8.3200000000e+04 2.9180000000e-01
8.3300000000e+04 2.9352000000e-01
8.3400000000e+04 2.9387000000e-01
8.3500000000e+04 2.9285000000e-01
8.3600000000e+04 2.9183000000e-01
8.3700000000e+04 2.9218000000e-01
8.3800000000e+04 2.9390000000e-01
