# photband: ZTF_g
# source: SVO Filter Profile Service
# svo_id: Palomar/ZTF.g
# detector_type: 1
# response_type: photon
# components: Filter + CCD
# profile_reference: https://github.com/ZwickyTransientFacility/ztf_information/tree/master/filter_transmission
# wavelength_unit: Angstrom
# columns: wavelength transmission
3.6760000000e+03 3.6233402645e-03
3.6769865000e+03 3.4234112547e-03
3.6779730000e+03 3.7410752497e-03
3.6789595000e+03 3.6319242765e-03
3.6799460000e+03 3.7212559614e-03
3.6809325000e+03 3.2184601522e-03
3.6819190000e+03 3.0531488610e-03
3.6829055000e+03 3.7361203994e-03
3.6838919000e+03 3.6545317344e-03
3.6848784000e+03 3.2999780234e-03
3.6858649000e+03 3.3707377006e-03
3.6868514000e+03 3.3328854921e-03
3.6878379000e+03 3.2838840922e-03
3.6888244000e+03 3.2851334992e-03
3.6898109000e+03 3.2583338577e-03
3.6907974000e+03 3.3081841300e-03
3.6917839000e+03 3.1442411434e-03
3.6927704000e+03 3.0490793581e-03
3.6937569000e+03 3.0186509940e-03
3.6947434000e+03 2.9840370298e-03
3.6957299000e+03 2.9845636381e-03
3.6967164000e+03 3.0908564266e-03
3.6977029000e+03 3.5895771634e-03
3.6986893000e+03 3.5807544159e-03
3.6996758000e+03 3.4403393770e-03
3.7006623000e+03 3.5288010943e-03
3.7016488000e+03 3.4241809430e-03
3.7026353000e+03 3.5443544369e-03
3.7036218000e+03 3.3626812260e-03
3.7046083000e+03 3.3830522379e-03
3.7055948000e+03 3.4075509359e-03
3.7065813000e+03 3.1768580486e-03
3.7075678000e+03 3.1576891615e-03
3.7085543000e+03 3.2939731704e-03
3.7095408000e+03 3.1366027314e-03
3.7105273000e+03 3.0164892052e-03
3.7115138000e+03 3.0165590610e-03
3.7125003000e+03 3.1117004319e-03
3.7134867000e+03 3.2899279252e-03
3.7144732000e+03 3.4382474275e-03
3.7154597000e+03 3.3061373270e-03
3.7164462000e+03 3.2666031565e-03
3.7174327000e+03 3.2596493441e-03
3.7184192000e+03 3.7242365131e-03
3.7194057000e+03 3.5020049628e-03
3.7203922000e+03 3.3157631985e-03
3.7213787000e+03 3.5231049975e-03
3.7223652000e+03 3.3035311525e-03
3.7233517000e+03 2.8751025494e-03
3.7243382000e+03 3.1300485657e-03
3.7253247000e+03 2.9107057796e-03
3.7263112000e+03 3.1015947638e-03
3.7272976000e+03 3.1177519777e-03
3.7282841000e+03 3.0869613721e-03
3.7292706000e+03 3.2870222064e-03
3.7302571000e+03 3.4438905317e-03
3.7312436000e+03 3.4119737954e-03
3.7322301000e+03 3.3299546563e-03
3.7332166000e+03 3.1135897181e-03
3.7342031000e+03 3.6693346088e-03
