# photband: ZTF_i
# source: SVO Filter Profile Service
# svo_id: Palomar/ZTF.i
# detector_type: 1
# response_type: photon
# components: Filter + CCD
# profile_reference: https://github.com/ZwickyTransientFacility/ztf_information/tree/master/filter_transmission
# wavelength_unit: Angstrom
# columns: wavelength transmission
3.0000000000e+03 0.0000000000e+00
3.0020000000e+03 0.0000000000e+00
3.0040000000e+03 0.0000000000e+00
3.0060000000e+03 0.0000000000e+00
3.0080000000e+03 0.0000000000e+00
3.0100000000e+03 0.0000000000e+00
3.0120000000e+03 0.0000000000e+00
3.0140000000e+03 0.0000000000e+00
3.0160000000e+03 0.0000000000e+00
3.0180000000e+03 8.2767265087e-04
3.0200000000e+03 8.2880140165e-04
3.0220000000e+03 7.6367937786e-04
3.0240000000e+03 6.9756547582e-04
3.0260000000e+03 6.3045969552e-04
3.0280000000e+03 5.6236203697e-04
3.0300000000e+03 4.9327250016e-04
3.0320000000e+03 4.5174834287e-04
3.0340000000e+03 4.0961802521e-04
3.0360000000e+03 3.6688154718e-04
3.0380000000e+03 3.2353890877e-04
3.0400000000e+03 2.7959010998e-04
3.0420000000e+03 2.6807625159e-04
3.0440000000e+03 2.5638793584e-04
3.0460000000e+03 2.4449688362e-04
3.0480000000e+03 2.3242782408e-04
3.0500000000e+03 2.2018821811e-04
3.0520000000e+03 1.8602988530e-04
3.0540000000e+03 1.5143186379e-04
3.0560000000e+03 1.1639415357e-04
3.0580000000e+03 8.0916754651e-05
3.0600000000e+03 4.4999667030e-05
3.0620000000e+03 5.3145757699e-05
3.0640000000e+03 6.1386372377e-05
3.0660000000e+03 6.9721511066e-05
3.0680000000e+03 7.8167583602e-05
3.0700000000e+03 8.6751818139e-05
3.0720000000e+03 7.4113044784e-05
3.0740000000e+03 6.1302959562e-05
3.0760000000e+03 4.8321562473e-05
3.0780000000e+03 3.5168853517e-05
3.0800000000e+03 2.1844832694e-05
3.0820000000e+03 1.7796891174e-05
3.0840000000e+03 1.3696349530e-05
3.0860000000e+03 9.5432077620e-06
3.0880000000e+03 5.3326710132e-06
3.0900000000e+03 1.0770957588e-06
3.0920000000e+03 7.8286331833e-06
3.0940000000e+03 1.4649323416e-05
3.0960000000e+03 2.1539166455e-05
3.0980000000e+03 2.8498162303e-05
3.1000000000e+03 3.5526310958e-05
3.1020000000e+03 3.6513021297e-05
3.1040000000e+03 3.7507810235e-05
3.1060000000e+03 3.8510677772e-05
3.1080000000e+03 3.9521623908e-05
3.1100000000e+03 4.0540648643e-05
3.1120000000e+03 3.4452096022e-05
3.1140000000e+03 2.8299699877e-05
3.1160000000e+03 2.2078995881e-05
3.1180000000e+03 1.5802791315e-05
3.1200000000e+03 9.4710861757e-06
3.1220000000e+03 1.2627135197e-05
3.1240000000e+03 1.5810078473e-05
3.1260000000e+03 1.9019916003e-05
