# photband: ZTF_r
# source: SVO Filter Profile Service
# svo_id: Palomar/ZTF.r
# detector_type: 1
# response_type: photon
# components: Filter + CCD
# profile_reference: https://github.com/ZwickyTransientFacility/ztf_information/tree/master/filter_transmission
# wavelength_unit: Angstrom
# columns: wavelength transmission
5.4976000000e+03 1.1091119440e-03
5.4983000000e+03 1.1623738917e-03
5.4990000000e+03 1.0825390294e-03
5.4997000000e+03 1.1712964987e-03
5.5004000000e+03 1.2156894903e-03
5.5012000000e+03 1.1802234204e-03
5.5019000000e+03 1.1358781305e-03
5.5026000000e+03 1.1004052001e-03
5.5033000000e+03 1.0826796152e-03
5.5040000000e+03 1.1004517226e-03
5.5047000000e+03 1.1270993786e-03
5.5054000000e+03 1.1093732309e-03
5.5061000000e+03 1.0028945985e-03
5.5069000000e+03 1.1360496418e-03
5.5076000000e+03 1.0916957763e-03
5.5083000000e+03 1.1716007171e-03
5.5090000000e+03 1.1094938248e-03
5.5097000000e+03 1.0473843063e-03
5.5104000000e+03 9.6751950999e-04
5.5111000000e+03 1.0829346312e-03
5.5118000000e+03 1.1095876201e-03
5.5125000000e+03 1.0829804033e-03
5.5133000000e+03 1.1185149705e-03
5.5140000000e+03 1.1185386069e-03
5.5147000000e+03 1.2162145027e-03
5.5154000000e+03 1.2339955340e-03
5.5161000000e+03 1.2162659025e-03
5.5168000000e+03 1.1363892344e-03
5.5175000000e+03 1.0831438751e-03
5.5182000000e+03 1.1009235933e-03
5.5189000000e+03 1.1897328912e-03
5.5196000000e+03 1.1720004458e-03
5.5204000000e+03 1.2519397960e-03
5.5211000000e+03 1.1809327004e-03
5.5218000000e+03 1.2075957924e-03
5.5225000000e+03 1.2253804415e-03
5.5232000000e+03 1.2431658410e-03
5.5239000000e+03 1.1188728934e-03
5.5246000000e+03 1.2165779728e-03
5.5253000000e+03 1.2610052666e-03
5.5260000000e+03 1.2787929172e-03
5.5267000000e+03 1.1900129907e-03
5.5275000000e+03 1.2699698940e-03
5.5282000000e+03 1.2255912397e-03
5.5289000000e+03 1.1456855755e-03
5.5296000000e+03 1.3233391971e-03
5.5303000000e+03 1.3677754416e-03
5.5310000000e+03 1.2256947897e-03
5.5317000000e+03 1.4122433890e-03
5.5324000000e+03 1.2346287862e-03
5.5331000000e+03 1.3412437702e-03
5.5338000000e+03 1.3412720964e-03
5.5345000000e+03 1.4123626966e-03
5.5353000000e+03 1.2080878157e-03
5.5360000000e+03 1.2614124454e-03
5.5367000000e+03 1.4302231859e-03
5.5374000000e+03 1.4213698266e-03
5.5381000000e+03 1.4480510881e-03
5.5388000000e+03 1.2259832505e-03
5.5395000000e+03 1.2615456347e-03
5.5402000000e+03 1.4659114435e-03
5.5409000000e+03 1.4748268953e-03
5.5416000000e+03 1.4393192875e-03
5.5423000000e+03 1.4837740499e-03
5.5430000000e+03 1.5460008125e-03
5.5438000000e+03 1.4749559040e-03
5.5445000000e+03 1.5194143646e-03
5.5452000000e+03 1.5016751392e-03
5.5459000000e+03 1.5639077171e-03
5.5466000000e+03 1.5283966255e-03
5.5473000000e+03 1.5106564621e-03
5.5480000000e+03 1.5995523733e-03
5.5487000000e+03 1.6262459086e-03
5.5494000000e+03 1.5996199059e-03
5.5501000000e+03 1.6174276019e-03
